,model,brand
1169,sierra (classic) 3500 extended cab,gmc
1170,sierra (classic) 3500 regular cab,gmc
1171,sierra (classic) 2500 hd extended cab,gmc
1172,sierra (classic) 2500 hd regular cab,gmc
1173,montego,mercury
1174,monterey,mercury
1175,relay,saturn
1176,ion,saturn
1177,b9 tribeca,subaru
1178,avalanche 2500,chevrolet
1179,avalanche 1500,chevrolet
1180,ssr,chevrolet
1181,silverado 3500 crew cab,chevrolet
1182,silverado 3500 extended cab,chevrolet
1183,silverado 3500 regular cab,chevrolet
1184,silverado 1500 hd crew cab,chevrolet
1185,stratus,dodge
1186,gt,ford
1187,envoy xl,gmc
1188,sierra 3500 crew cab,gmc
1189,sierra 1500 hd crew cab,gmc
1190,sierra 3500 extended cab,gmc
1191,sierra 3500 regular cab,gmc
1192,h1,hummer
1193,q,infiniti
1194,i-350 crew cab,isuzu
1195,i-280 extended cab,isuzu
1196,optima (2006.5),kia
1197,ls,lincoln
1198,gransport,maserati
1199,coupe,maserati
1200,mpv,mazda
1201,montero,mitsubishi
1202,esperante,panoz
1203,montana sv6,pontiac
1204,baja,subaru
1205,xa,scion
1206,9-2x,saab
1207,xl-7,suzuki
1208,verona,suzuki
1209,tundra access cab,toyota
1210,a4 (2005.5),audi
1211,phaeton,volkswagen
1212,s4 (2005.5),audi
1213,astro cargo,chevrolet
1214,deville,cadillac
1215,lesabre,buick
1216,classic,chevrolet
1217,astro passenger,chevrolet
1218,venture passenger,chevrolet
1219,venture cargo,chevrolet
1220,neon,dodge
1221,excursion,ford
1222,envoy xuv,gmc
1223,safari cargo,gmc
1224,thunderbird,ford
1225,safari passenger,gmc
1226,xg350,hyundai
1227,freelander,land rover
1228,bonneville,pontiac
1229,carrera gt,porsche
1230,l-series,saturn
1231,celica,toyota
1232,mr2,toyota
1233,jetta (new),volkswagen
1234,seville,cadillac
1235,silverado 2500 extended cab,chevrolet
1236,s10 crew cab,chevrolet
1237,silverado 2500 crew cab,chevrolet
1238,silverado 2500 regular cab,chevrolet
1239,concorde,chrysler
1240,dakota regular cab,dodge
1241,f150 (heritage) super cab,ford
1242,f150 (heritage) regular cab,ford
1243,sierra 2500 regular cab,gmc
1244,sonoma crew cab,gmc
1245,sierra 2500 crew cab,gmc
1246,sierra 2500 extended cab,gmc
1247,axiom,isuzu
1248,rodeo,isuzu
1249,b-series cab plus,mazda
1250,marauder,mercury
1251,diamante,mitsubishi
1252,montero sport,mitsubishi
1253,bravada,oldsmobile
1254,alero,oldsmobile
1255,pathfinder armada,nissan
1256,silhouette,oldsmobile
1257,vitara,suzuki
1258,s40 (new),volvo
1259,tacoma xtracab,toyota
1260,v40,volvo
1261,cl,acura
1262,z8,bmw
1263,rs 6,audi
1264,s10 extended cab,chevrolet
1265,s10 regular cab,chevrolet
1266,ram van 1500,dodge
1267,ram van 2500,dodge
1268,ram van 3500,dodge
1269,explorer sport,ford
1270,windstar cargo,ford
1271,zx2,ford
1272,windstar passenger,ford
1273,sonoma extended cab,gmc
1274,sonoma regular cab,gmc
1275,rodeo sport,isuzu
1276,protege5,mazda
1277,protege,mazda
1278,aurora,oldsmobile
1279,eurovan,volkswagen
1280,z3,bmw
1281,eldorado,cadillac
1282,prizm,chevrolet
1283,prowler,chrysler
1284,nubira,daewoo
1285,leganza,daewoo
1286,econoline e250 cargo,ford
1287,econoline e350 super duty passenger,ford
1288,ram wagon 2500,dodge
1289,econoline e150 cargo,ford
1290,econoline e150 passenger,ford
1291,ram wagon 1500,dodge
1292,econoline e350 super duty cargo,ford
1293,escort,ford
1294,ram wagon 3500,dodge
1295,trooper,isuzu
1296,discovery series ii,land rover
1297,blackwood,lincoln
1298,626,mazda
1299,millenia,mazda
1300,villager,mercury
1301,cougar,mercury
1302,intrigue,oldsmobile
1303,s-series,saturn
1304,firebird,pontiac
1305,cabrio,volkswagen
1306,catera,cadillac
1307,metro,chevrolet
1308,lhs,chrysler
1309,ram 1500 club cab,dodge
1310,jimmy,gmc
1311,xg300,hyundai
1312,vehicross,isuzu
1313,sephia,kia
1314,frontier regular cab,nissan
1315,neon,plymouth
1316,passat (new),volkswagen
1317,2500 hd regular cab,chevrolet
1318,2500 crew cab,chevrolet
1319,2500 hd extended cab,chevrolet
1320,3500 crew cab,chevrolet
1321,3500 extended cab,chevrolet
1322,3500 regular cab,chevrolet
1323,tahoe (new),chevrolet
1324,cirrus,chrysler
1325,grand voyager,chrysler
1326,contour,ford
1327,yukon denali,gmc
1328,sierra (classic) 2500 crew cab,gmc
1329,amigo,isuzu
1330,hombre spacecab,isuzu
1331,hombre regular cab,isuzu
1332,mystique,mercury
1333,grand voyager,plymouth
1334,breeze,plymouth
1335,voyager,plymouth
1336,prowler,plymouth
1337,s70,volvo
1338,slx,acura
1339,riviera,buick
1340,1500 extended cab,chevrolet
1341,ram 2500 club cab,dodge
1342,econoline e350 cargo,ford
1343,f250 regular cab,ford
1344,f250 super cab,ford
1345,2500 crew cab,gmc
1346,3500 regular cab,gmc
1347,1500 club coupe,gmc
1348,3500 extended cab,gmc
1349,2500 hd regular cab,gmc
1350,2500 hd extended cab,gmc
1351,3500 crew cab,gmc
1352,suburban 2500,gmc
1353,suburban 1500,gmc
1354,oasis,isuzu
1355,cutlass,oldsmobile
1356,tracer,mercury
1357,3000gt,mitsubishi
1358,lss,oldsmobile
1359,88,oldsmobile
1360,cabrio (new),volkswagen
1361,golf (new),volkswagen
1362,gti (new),volkswagen
1363,cabriolet,audi
1364,skylark,buick
1365,2500 regular cab,chevrolet
1366,g-series 1500,chevrolet
1367,1500 regular cab,chevrolet
1368,2500 extended cab,chevrolet
1369,g-series 3500,chevrolet
1370,g-series 2500,chevrolet
1371,club wagon,ford
1372,talon,eagle
1373,2500 club coupe,gmc
1374,2500 regular cab,gmc
1375,1500 regular cab,gmc
1376,3500 club coupe,gmc
1377,sonoma club coupe cab,gmc
1378,2500 hd club coupe,gmc
1379,mark viii,lincoln
1380,200sx,nissan
1381,240sx,nissan
1382,achieva,oldsmobile
1383,regency,oldsmobile
1384,sidekick,suzuki
1385,trans sport,pontiac
1386,supra,toyota
1387,900,saab
1388,t100 regular cab,toyota
1389,9000,saab
1390,t100 xtracab,toyota
1391,tercel,toyota
1392,aerostar passenger,ford
1393,aspire,ford
1394,ram 3500 club cab,dodge
1395,aerostar cargo,ford
1396,vision,eagle
1397,probe,ford
1398,f350 crew cab,ford
1399,f350 regular cab,ford
1400,f250 crew cab,ford
1401,f350 super cab,ford
1402,metro,geo
1403,prizm,geo
1404,del sol,honda
1405,j,infiniti
1406,defender 90,land rover
1407,mx-6,mazda
1408,regular cab,nissan
1409,king cab,nissan
1410,cutlass supreme,oldsmobile
1411,svx,subaru
1412,paseo,toyota
1413,previa,toyota
1414,850,volvo
1415,960,volvo
1416,roadmaster,buick
1417,fleetwood,cadillac
1418,beretta,chevrolet
1419,g-series g30,chevrolet
1420,lumina passenger,chevrolet
1421,sportvan g30,chevrolet
1422,corsica,chevrolet
1423,lumina cargo,chevrolet
1424,caprice classic,chevrolet
1425,new yorker,chrysler
1426,bronco,ford
1427,summit,eagle
1428,rally wagon g3500,gmc
1429,vandura g3500,gmc
1430,mighty max regular cab,mitsubishi
1431,300zx,nissan
1432,ciera,oldsmobile
1433,98,oldsmobile
1434,164,alfa romeo
1435,90,audi
1436,3500 hd extended cab,chevrolet
1437,g-series g20,chevrolet
1438,g-series g10,chevrolet
1439,3500 hd regular cab,chevrolet
1440,lebaron,chrysler
1441,sportvan g20,chevrolet
1442,spirit,dodge
1443,rally wagon g2500,gmc
1444,vandura g2500,gmc
1445,vandura g1500,gmc
1446,regular cab,isuzu
1447,mx-3,mazda
1448,929,mazda
1449,expo,mitsubishi
1450,rx-7,mazda
1451,acclaim,plymouth
1452,cutlass ciera,oldsmobile
1453,samurai,suzuki
1454,968,porsche
1455,928,porsche
1456,regular cab,toyota
1457,golf iii,volkswagen
1458,spider,alfa romeo
1459,xtra cab,toyota
1460,jetta iii,volkswagen
1461,100,audi
1462,940,volvo
1463,s10 blazer,chevrolet
1464,ram van b250,dodge
1465,ram wagon b350,dodge
1466,colt,dodge
1467,ram van b150,dodge
1468,ram van b350,dodge
1469,ram wagon b150,dodge
1470,shadow,dodge
1471,ram wagon b250,dodge
1472,rally wagon 2500,gmc
1473,tempo,ford
1474,rally wagon 3500,gmc
1475,vandura 1500,gmc
1476,vandura 3500,gmc
1477,vandura 2500,gmc
1478,spacecab,isuzu
1479,323,mazda
1480,navajo,mazda
1481,capri,mercury
1482,mighty max macro cab,mitsubishi
1483,precis,mitsubishi
1484,topaz,mercury
1485,laser,plymouth
1486,cutlass cruiser,oldsmobile
1487,colt,plymouth
1488,colt vista,plymouth
1489,sunbird,pontiac
1490,loyale,subaru
1491,sundance,plymouth
1492,justy,subaru
1493,corrado,volkswagen
1494,allante,cadillac
1495,sixty special,cadillac
1496,lumina apv,chevrolet
1497,sportvan g10,chevrolet
1498,apv cargo,chevrolet
1499,d350 club cab,dodge
1500,fifth ave,chrysler
1501,d250 club cab,dodge
1502,d150 club cab,dodge
1503,imperial,chrysler
1504,d350 regular cab,dodge
1505,d150 regular cab,dodge
1506,d250 regular cab,dodge
1507,ram 50 regular cab,dodge
1508,daytona,dodge
1509,ramcharger,dodge
1510,festiva,ford
1511,storm,geo
1512,rally wagon 1500,gmc
1513,stylus,isuzu
1514,defender 110,land rover
1515,300 e,mercedes-benz
1516,190 e,mercedes-benz
1517,300 d,mercedes-benz
1518,300 sd,mercedes-benz
1519,300 ce,mercedes-benz
1520,500 sel,mercedes-benz
1521,400 sel,mercedes-benz
1522,500 sl,mercedes-benz
1523,500 e,mercedes-benz
1524,300 sl,mercedes-benz
1525,600 sec,mercedes-benz
1526,300 te,mercedes-benz
1527,400 e,mercedes-benz
1528,300 se,mercedes-benz
1529,600 sl,mercedes-benz
1530,600 sel,mercedes-benz
1531,500 sec,mercedes-benz
1532,nx,nissan
1533,lemans,pontiac
1534,cabriolet,volkswagen
1535,fox,volkswagen
1536,240,volvo
1537,80,audi
1538,brougham,cadillac
1539,rocky,daihatsu
1540,charade,daihatsu
1541,monaco,dodge
1542,premier,eagle
1543,sonoma club cab,gmc
1544,impulse,isuzu
1545,comanche regular cab,jeep
1546,mark vii,lincoln
1547,400 se,mercedes-benz
1548,stanza,nissan
1549,toronado,oldsmobile
1550,custom cruiser,oldsmobile
1551,cressida,toyota
1552,740,volvo
1553,a6 allroad,audi
1554,encore gx,buick
1555,ct4,cadillac
1556,bronco sport,ford
1557,transit connect cargo van,ford
1558,gv80,genesis
1559,cr-v hybrid,honda
1560,k5,kia
1561,grand cherokee l,jeep
1562,seltos,kia
1563,glb,mercedes-benz
1564,718 spyder,porsche
1565,r1s,rivian
1566,r1t,rivian
1567,rav4 prime,toyota
1568,atlas cross sport,volkswagen
1569,hummer ev,gmc
1570,grand wagoneer,jeep
1571,is300,lexus
1572,is500,lexus
1573,is350,lexus
1574,g25,infiniti
1575,m25,infiniti
1576,m37,infiniti
1577,m56,infiniti
1578,m35h,infiniti
1579,m30d,infiniti
1580,m30,infiniti
1581,polestar,polestar
1582,alhambra,seat
1583,ateca,seat
1584,toledo,seat
1585,leon,seat
1586,st,seat
1587,x-perience,seat
1588,mii,seat
1589,tarraco,seat
1590,ibiza,seat
1591,arona,seat
1592,ronda,seat
1593,cordoba,seat
1594,cupra,seat
1595,fura,seat
1596,arosa,seat
1597,exeo,seat
1598,marblla,seat
1599,malaga,seat
1600,formula,seat
1601,tango,seat
1602,ibe,seat
1603,bocanegra,seat
1604,bolero,seat
1605,salsa,seat
1606,altea,seat
1607,tribu,seat
1608,madrid,seat
1609,proto,seat
1610,inca,seat
