Datetime,Tweet Id,Text,Username,user_mention,followersCount,listedCount
2020-05-03 15:20:13+00:00,1256966800832491520,OMG!! those “people” need to be arrested. What is so hard about following the rules? Why don’t they get it. They should just go back to their country if they don’t like the way this beautiful country is ran. #bluelivesmatter fucking idiots https://t.co/M44YwyWVtU,sadboyjustice,,104,0
2020-05-03 15:18:32+00:00,1256966378113753088,Wasnt aware #HuntingtonBeach was filled with Thugs. Dont come to LA with your selfish acts! #CrimesAgainstHumanity #selfishpricks #LOCKDOWN2020 #COVID__19 #AmericaWorksTogether #HealthcareHeroes #youdontlikeitleave #Europeansettlers #BlueLivesMatter 🇺🇸 https://t.co/hDMHnIuOTx,CaIiNative213,,443,17
2020-05-03 15:18:31+00:00,1256966373349171203,"@MollyJongFast To right wing activists, the term #bluelivesmatter just means that police officers should be able to mistreat black and brown people.

It was never about actually respecting police officers.

These clowns always expose their true selves. https://t.co/qQz9lFdV4b",RussOnPolitics,MollyJongFast,18440,383
2020-05-03 15:18:29+00:00,1256966367519166466,Where them #BlueLivesMatter folks at? https://t.co/99flgWfjsv,nickcernoch,,267,16
2020-05-03 15:18:19+00:00,1256966321595711498,@AdamParkhomenko #BlueLivesMatter,kreaganmets,AdamParkhomenko,74,0
2020-05-03 15:17:40+00:00,1256966158575702023,#BlueLivesMatter  they say. Allegedly. https://t.co/g5PXETo6Hb,glassnet,,16,0
2020-05-03 15:17:16+00:00,1256966060282126338,These the same people that tweet #bluelivesmatter ? https://t.co/92oy5Wn2XY,classicmoes,,11,0
2020-05-03 15:16:29+00:00,1256965862818545667,@Oathkeepers @StewartRhodesOK #BlueLivesMatter,NickRup,"Oathkeepers, StewartRhodesOK",225,5
2020-05-03 15:16:25+00:00,1256965844665602049,"Dear White People,

You are not revolutionaries for fighting for the right to endanger yourselves and others, you’re MORONS. And hypocrites because when we fight for the right to not be murdered by cops, you say #BlueLivesMatter 

I hope every one of you protesting catch the Rona https://t.co/YfUtinu3t2",DSTBlaze,,2246,100
2020-05-03 15:15:45+00:00,1256965678122373120,"It was very much #BlueLivesMatter when folks were getting haircuts and going to the beach. 
Police kill unarmed POC = 🤷🏾‍♂️🙏🏾👏🏽
Police no let you go to the mall = 😡 https://t.co/wRnzryKMXK",blucu,,46644,572
2020-05-03 15:15:29+00:00,1256965610858336256,#BlueLivesMatter https://t.co/jfAuh7pOHW,jmann127,,28,1
2020-05-03 15:14:57+00:00,1256965478045618180,"@AdamParkhomenko #BlueLivesMatter holding up strong, I see.",Cap_McAwesome,AdamParkhomenko,728,5
2020-05-03 15:14:27+00:00,1256965351465603074,y’all ... there would’ve been headlines that “10+ african americans were shot at protest” if they were screaming like this. #BlueLivesMatter is bullshit. but y’all ain’t ready for a REAL conversation. https://t.co/jVcrBIC9ga,txnacastro,,47,0
2020-05-03 15:14:00+00:00,1256965236474724357,@imraansiddiqi #BlueLivesMatter .....enough to get in their faces with no protection. ;),mikeportc3833,imraansiddiqi,135,1
2020-05-03 15:12:48+00:00,1256964935738888192,"About those #BlueLivesMatter yard signs.....

https://t.co/tmpQv0xEwc",AndrewRedlawsk,,785,12
2020-05-03 15:12:18+00:00,1256964808215334912,#BlueLivesMatter ???? https://t.co/b9wHVcycBW,markrandall3rd,,867,31
2020-05-03 15:12:18+00:00,1256964807887949824,@TyreeBP Where you at #Bluelivesmatter ? https://t.co/mDekzBUpDc,Joejoedoyle,TyreeBP,789,0
2020-05-03 15:12:15+00:00,1256964797717008385,UPDATE: Extremists Continue Taking Advantage Of Coronavirus As Authorities Warned https://t.co/L2zCVFdFaY #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:12:14+00:00,1256964793447170050,UPDATE: North Korea Fires Shots At South Korea In DMZ https://t.co/zljXUo5aca #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:12:13+00:00,1256964788913090560,UPDATE: EXCLUSIVE: Dave Rubin: Taking On Outrage Culture More Relevant Than Ever During Coronavirus https://t.co/ZiXDucupSw #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:12:12+00:00,1256964784823689220,UPDATE: China’s Coronavirus Cover-Up Rips Pages From Soviet Chernobyl Playbook: Report https://t.co/TFTq3CFkFi #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:12:06+00:00,1256964759557156866,UPDATE: Birx: ‘Devastatingly worrisome’ that stay-at-home protesters aren’t social distancing | TheHill https://t.co/uo26FEUJhW #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:12:05+00:00,1256964755262144512,UPDATE: Biden: Panel vetting ‘more than a dozen women’ as potential running mate | TheHill https://t.co/wxTgkpomOI #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:12:01+00:00,1256964737428008960,These are the same people who next week will chant “blue lives matter”. #Hypocrite #BlueLivesMatter #2020lockdown #StayHome https://t.co/bDRdvpmaK9,YouthGoneWildOK,,176,0
2020-05-03 15:11:51+00:00,1256964696047005696,"#ISupportPolice #BlueLivesMatter #ThinBlueLine etc, etc, etc, etc, etc, etc

Oh wait. You don't actually support law enforcement if the law is something you don't agree with. Got it. Sit down, Becky. https://t.co/74aM5XQx6k",AndrewRedlawsk,,785,12
2020-05-03 15:11:46+00:00,1256964677109719040,"UPDATE: Surfing and strolling, Spaniards reclaim the outdoors https://t.co/N95BI0MiuA #veterans #bluelivesmatter #hillaryemails #latinos #MAGA",BearWitnessCtl,,335,159
2020-05-03 15:11:46+00:00,1256964675322994689,UPDATE: Israel’s Supreme Court discusses Netanyahu’s fate as prime minister https://t.co/akKzc6qKWP #veterans #bluelivesmatter #hillaryemails #latinos #MAGA,BearWitnessCtl,,335,159
2020-05-03 15:11:46+00:00,1256964675125862401,"UPDATE: Coronavirus death toll in English hospitals rises to 21,180 https://t.co/GgGjha13nT #veterans #bluelivesmatter #hillaryemails #latinos #MAGA",BearWitnessCtl,,335,159
2020-05-03 15:11:44+00:00,1256964666561044480,"UPDATE: Americans turn to hunting for food, renewal during pandemic https://t.co/73XTfjOti2 #veterans #bluelivesmatter #hillaryemails #latinos #MAGA",BearWitnessCtl,,335,159
