source,target,content
ChaunoSr,SenateDems,non tweet
ChaunoSr,HouseDemocrats,non tweet
ChaunoSr,RealDLHughley,non tweet
SarahHu55438773,letitiawright,non tweet
LeBaronLordKing,SamsClub,non tweet
LeBaronLordKing,Missouri,non tweet
LeBaronLordKing,stlcounty,non tweet
LeBaronLordKing,nbcnews,non tweet
JayleneLeslie,JayleneLeslie,tweet
douglasflowe,madameclair08,non tweet
ItsItoon,ItsItoon,tweet
RepublicMighty,CNNPolitics,non tweet
RepublicMighty,MSNBC,non tweet
RepublicMighty,FoxNews,non tweet
RepublicMighty,JoeBiden,non tweet
RepublicMighty,JohnKerry,non tweet
RepublicMighty,ChurchofSatan,non tweet
thewoman62,POTUS,non tweet
dallaskinney,charliekirk11,non tweet
Undefeated66,Undefeated66,tweet
TexIana1,TexIana1,tweet
lnicholcaves,tiktok_us,non tweet
ayeesha_13,babyvuittonn,non tweet
ayeesha_13,theesudani,non tweet
JamilaMHammami,CUNY,non tweet
JamilaMHammami,RanknFileAction,non tweet
JamilaMHammami,cuny_free,non tweet
WitchWayForest,JoeBiden,non tweet
WitchWayForest,hillaryclinton,non tweet
Krowhop,MyIshIsTheBomb,non tweet
Krowhop,TrapSanta_,non tweet
Krowhop,khabanaa,non tweet
Krowhop,grant_capree,non tweet
Krowhop,JMBurris,non tweet
Krowhop,ElizabethEThorp,non tweet
vegashokuda,vegashokuda,tweet
EddieEarthBoi,EddieEarthBoi,tweet
ISASaxonists,ISASaxonists,tweet
Adrian_jason88,FiveRights,non tweet
Adrian_jason88,MSNBC,non tweet
ingridabologo,ingridabologo,tweet
Solo_Knight66,Solo_Knight66,tweet
Grrrapeape_73,Grrrapeape_73,tweet
TainoIsabel,TainoIsabel,tweet
alavelleporter,newinquiry,non tweet
_sspm,UnSrdeBarcelona,non tweet
Lundy08,Lundy08,tweet
Welcome2HipHop,welcome2hiphop,non tweet
ChFucktrump,ChFucktrump,tweet
DanielleMuscato,dereckapurnell,non tweet
_ChickenThotPie,_ChickenThotPie,tweet
Amaze_C,RGMsquare,non tweet
Amaze_C,IntlStarz,non tweet
DrKhaliah,EvolveWithDrO,non tweet
BoHunter41,JoeBiden,non tweet
BoHunter41,JoeBiden,non tweet
BoHunter41,badwolfreigns,non tweet
BoHunter41,JoeBiden,non tweet
BoHunter41,KLF,non tweet
BoHunter41,Vote2Win4GOP,non tweet
BoHunter41,JoeBiden,non tweet
TheLivesThatMtr,TheLivesThatMtr,tweet
TheJayLilRose,realdlhughley,non tweet
JLREnergy_Drink,realdlhughley,non tweet
rebeccarauber,rebeccarauber,tweet
JLREnergy_Drink,realdlhughley,non tweet
JLREnergy_Drink,realdlhughley,non tweet
TheJayLilRose,realdlhughley,non tweet
TheJayLilRose,realdlhughley,non tweet
JLREnergy_Drink,realdlhughley,non tweet
BronzeAgeHebrew,BronzeAgeHebrew,tweet
ACrippling_girl,RLZ54,non tweet
ACrippling_girl,leiverttt,non tweet
ACrippling_girl,danaa_linnie,non tweet
ACrippling_girl,ItzANiceWorld,non tweet
ACrippling_girl,dednepsus,non tweet
ACrippling_girl,gabweeee,non tweet
ACrippling_girl,kiramelodic,non tweet
ACrippling_girl,amshtease,non tweet
ACrippling_girl,NICKIMINAJ,non tweet
Williams1980J,BubetteS,non tweet
Williams1980J,KRTNWILL,non tweet
Williams1980J,VarelaPete,non tweet
ChiTownSidBrown,SurrattPam,non tweet
ChiTownSidBrown,CorMig,non tweet
ChiTownSidBrown,JoeBiden,non tweet
ChiTownSidBrown,JoeBiden,non tweet
lokforwardangel,lokforwardangel,tweet
chriscavanaughh,chriscavanaughh,tweet
chriscavanaughh,marioworldwide,non tweet
chriscavanaughh,BET,non tweet
JamesAntonHake,redsteeze,non tweet
JamesAntonHake,cthagod,non tweet
Blax4T,YouTube,non tweet
YoloSpinks,Kaepernick7,non tweet
YoloSpinks,Nike,non tweet
eaton_sandy,MassNurses,non tweet
eaton_sandy,M4ASC,non tweet
eaton_sandy,GBLCBoston,non tweet
eaton_sandy,Boston_DSA,non tweet
eaton_sandy,DsaShore,non tweet
eaton_sandy,BTU66,non tweet
eaton_sandy,UNITEHERE26,non tweet
WitchWayForest,WitchWayForest,tweet
leonhardtmindy,AustinSteinbart,non tweet
lokforwardangel,lokforwardangel,tweet
lokforwardangel,lokforwardangel,tweet
1Chance2020,JoeBiden,non tweet
wendell_kelsey,deejjayell,non tweet
wendell_kelsey,TheRightMelissa,non tweet
wendell_kelsey,CapehartJ,non tweet
wendell_kelsey,cthagod,non tweet
wendell_kelsey,JoeBiden,non tweet
wuperkins,fatbellybella,non tweet
badekaradot,badekaradot,tweet
mtrubidoux,pastahkelly,non tweet
lokforwardangel,lokforwardangel,tweet
VigilantCanada,BBC,non tweet
VigilantCanada,JoeBiden,non tweet
VigilantCanada,realDonaldTrump,non tweet
VigilantCanada,DNC,non tweet
VigilantCanada,CNN,non tweet
VigilantCanada,MSNBC,non tweet
VigilantCanada,FOX,non tweet
VigilantCanada,WSJ,non tweet
VigilantCanada,ABC,non tweet
TheMetDet,GovWhitmer,non tweet
TheMetDet,NYGovCuomo,non tweet
TheMetDet,GovMurphy,non tweet
TheMetDet,NAACP,non tweet
TheMetDet,hrw,non tweet
TheMetDet,POTUS,non tweet
TheMetDet,CNN,non tweet
TheMetDet,FoxNews,non tweet
acarrottweets,tiktok_us,non tweet
brownandred,blmsouthbend,non tweet
brownandred,Blklivesmatter,non tweet
MissionaryBLMM,503chicaa,non tweet
