Datetime,Tweet Id,Text,Username,user_mention,followersCount,listedCount
2020-05-23 22:57:21+00:00,1264329599447695361,"@Big6domino And yet I don't think I'll start the hashtag TrumpHatesMeMoreThanYou anytime soon.😉

#BlackLivesMatter 

**mostly b/c I'm afraid to find out how many white liberals actually think it's true",LoveIrreverence,Big6domino,1657,65
2020-05-23 22:52:06+00:00,1264328277235085312,@BarackObama @realDonaldTrump #realdonaldtrump #portrait #Americans #UnitedStates #WhiteHouse #BlackLivesMatter #Bigot #Racists #Hater #love https://t.co/uafOR8ClpY,Info4U2Know,"BarackObama, realDonaldTrump",153,7
2020-05-23 22:40:11+00:00,1264325282183307264,So true... But if you looking at the comments I am amazed by the ignorance and sheer rudeness people feel free to sling. #BlackLivesMatter #canada https://t.co/2xzTyX9mTe,CanadianLawson,,67,0
2020-05-23 22:38:19+00:00,1264324810903035907,#BlackLivesMatter @Blklivesmatter Why do you hate white people?,MammaDoggo,Blklivesmatter,4,0
2020-05-23 22:34:40+00:00,1264323890735611905,"#GiletsJaunes  #BlackLivesMatter  

 ""El miedo cambió de bando. ¡Aquí están los Chalecos Negros!"" https://t.co/9vyLdZVLo2",RosaClara371,,210,2
2020-05-23 22:34:36+00:00,1264323873216106497,#BlackLivesMatter #BlackTwitter https://t.co/xKQdHrqFPZ,nefqrtiti,,25,2
2020-05-23 22:33:51+00:00,1264323685822971905,@teolovaticmixer i am in tears. actual tears. this is well and truly heartbreaking to witness #justiceforJacob #blacklivesmatter,olsenslove,,1249,48
2020-05-23 22:33:19+00:00,1264323553501077513,#BlackLivesMatter @Blklivesmatter But they don't,MammaDoggo,Blklivesmatter,4,0
2020-05-23 22:29:01+00:00,1264322470242287624,"The only race that exists for me is a human race. We should all be equal. I'm so sick of white privilege. Like, really sick. This is the real issue and this shit exists. #BlackLivesMatter",cftsbitter,,1059,11
2020-05-23 22:19:19+00:00,1264320028771520514,"Now that the charges have been dropped against Kenneth Walker, there’s no reason Mayor Greg Fischer hasn’t acted yet. 

@louisvillemayor fire the officers who killed Breonna Taylor now! #JusticeforBre #BreonnaTaylor #SayHerName #BlackLivesMatter",lovngmindfulnss,louisvillemayor,510,12
2020-05-23 22:17:13+00:00,1264319501106950144,Racists acting up on fb. #BLM #BlackLivesMatter #JusticeForAhmaud #coronavirus # https://t.co/deo6b6uAZd,jeremy68563607,,110,1
2020-05-23 22:16:50+00:00,1264319405367922688,"@ChuckCallesto It's not the state's fault a domestic terrorist decided to live there. This is #BlackLivesMatter in a nut shell.  Brown was a criminal; nobody cared. This guy beat up an old man, and nobody cares either. FFS a white man is the BLM spokescracker.",RyanPyro,ChuckCallesto,180,4
2020-05-23 22:11:35+00:00,1264318082278973441,#BlackLivesMatter https://t.co/KloIp7xkty,RaySr1946,,4883,110
2020-05-23 22:03:21+00:00,1264316010166796288,@MichaelRenberg @latimes Its a temporary order.  Do you get this upset when police shut down our #BlackLivesMatter protests too or does the 1st amendment not count then 🤔,habte_sabroso,"MichaelRenberg, latimes",151,4
2020-05-23 22:03:08+00:00,1264315958241476608,I love when people say they are standing up for ‘the unborn’ but don’t stand up for actual black Americans that get killed for no reason. #BlackLivesMatter,fiona_joan_r,,95,0
2020-05-23 21:58:01+00:00,1264314670070063105,#BlackTwitter #BlackLivesMatter  https://t.co/jUcQTP4Tv1,BullyEra,,77,0
2020-05-23 21:52:17+00:00,1264313223869759495,"As Senator I will push for legislation that provides reparations to the descendants of Africans enslaved in the US-Lawrence Hamm Senate Candidate (NJ -D) 
To support my campaign visit https://t.co/8hwYx4S9uO
#BlackLivesMatter #EqualPeople #equalrights #Reparations #GoHamm2020 #nj https://t.co/X4czF4AtvN",HammForSenate,,5596,36
2020-05-23 21:51:23+00:00,1264312998073524224,Thinking about the time at WJUC 2018 when WFDF threatened to ban our team from live-streamed games for wearing #blacklivesmatter headbands...,hazelbasil_206,,164,0
