source,target,content
MissDeniCameron,jafmomjulia,non tweet
MissDeniCameron,HKrassenstein,non tweet
MissDeniCameron,realDonaldTrump,non tweet
MissDeniCameron,POTUS,non tweet
Midu_Life,Midu_Life,tweet
peztronic,peztronic,tweet
MikeCastelli92,kanyewest,non tweet
AlexTheAppleKid,AlexTheAppleKid,tweet
JONANTOINEGRIF4,BeyonceBlack,non tweet
JONANTOINEGRIF4,Iheart,non tweet
JONANTOINEGRIF4,ClearChannel,non tweet
JONANTOINEGRIF4,RadioOne,non tweet
JONANTOINEGRIF4,cthagod,non tweet
JONANTOINEGRIF4,breakfastclubam,non tweet
JONANTOINEGRIF4,youtubemusic,non tweet
JONANTOINEGRIF4,revolttv,non tweet
JONANTOINEGRIF4,Power1051,non tweet
JONANTOINEGRIF4,Power106LA,non tweet
JONANTOINEGRIF4,hot1079atl,non tweet
JONANTOINEGRIF4,1077TheEnd,non tweet
JONANTOINEGRIF4,HOT97,non tweet
JONANTOINEGRIF4,BET,non tweet
Hadis_2727,Hadis_2727,tweet
kathy_moretz,realDonaldTrump,non tweet
JustPrintMoney,WSJ,non tweet
JustPrintMoney,bridges2italy,non tweet
SecretLee_,SecretLee_,tweet
maiiboo88,universaltee_,non tweet
kathleenseabolt,louisvillekygov,non tweet
just_jayne8,just_jayne8,tweet
TheHStirling,iamjohnoliver,non tweet
TheHStirling,YouTube,non tweet
miguemonteropr,miguemonteropr,tweet
derakbtw,derakbtw,tweet
apples_nyc,apples_nyc,tweet
John37121750,facts_dontlie,non tweet
John37121750,MinneapolisPD,non tweet
John37121750,ChiefMedaria,non tweet
peppydiagram,peppydiagram,tweet
mollybackes,mollybackes,tweet
HarrietBGarner,electroboyusa,non tweet
HarrietBGarner,fubar001,non tweet
HarrietBGarner,GOP,non tweet
HarrietBGarner,Carolyn4GA7,non tweet
moodologist,moodologist,tweet
revvrw,rkylesmith,non tweet
AndyOstroy,AndyOstroy,tweet
BeTheChampionUR,OpDeathEaters,non tweet
xcalicoco,xcalicoco,tweet
Camihhh9,Camihhh9,tweet
elise_xo111,joetayl10078588,non tweet
LavdaMary,LavdaMary,tweet
equaliTEAx,jarpad,non tweet
equaliTEAx,JensenAckles,non tweet
equaliTEAx,mishacollins,non tweet
equaliTEAx,BreonnaWooten,non tweet
coltpython52,realDonaldTrump,non tweet
Thrift4Kix,Thrift4Kix,tweet
JustBeR69995579,JustBeR69995579,tweet
Rjs677Stephan,WhiteHouse,non tweet
savsheaxo,savsheaxo,tweet
moodologist,moodologist,tweet
OnwardWeProceed,OnwardWeProceed,tweet
USCGamecockBoy,USCGamecockBoy,tweet
mbrontestudio00,mbrontestudio00,tweet
canadaitaxpayer,canadaitaxpayer,tweet
Blundrbak,Blundrbak,tweet
diverdown48,diverdown48,tweet
yaritzacambero,mfcsoul,non tweet
yaritzacambero,mfcsoul,non tweet
Maggie_OBrien5,Maggie_OBrien5,tweet
AgapiVibez,AgapiVibez,tweet
AiCcq,AiCcq,tweet
MayWay13,MayWay13,tweet
QLoseyateefa,QLoseyateefa,tweet
SFutorian,SFutorian,tweet
RealEarthParty,RealEarthParty,tweet
PascuaPack,PascuaPack,tweet
TheTickleMePink,TheTickleMePink,tweet
antifashyst,TRODTPA,non tweet
antifashyst,PattyArquette,non tweet
antifashyst,KenidraRWoods_,non tweet
msboxer22,SonyaDevilleWWE,non tweet
LizaCobb54,LizaCobb54,tweet
mikab03,Rickonia,non tweet
fakehead,nickmelvoin,non tweet
fakehead,la_studentsdsrv,non tweet
fakehead,blklivesmatter,non tweet
ETCanada,ETCanada,tweet
LucMatte9,annedeblois,non tweet
LucMatte9,RadioCanadaInfo,non tweet
LucMatte9,AOC,non tweet
KaylinGabrielle,KaylinGabrielle,tweet
amillyyy,amillyyy,tweet
mel_med_larson,MylesMill,non tweet
mel_med_larson,NYPDShea,non tweet
ggsoulsister,TheGalleryGirls,non tweet
UrbanTake_001,UrbanTake_001,tweet
Harveyhollered,Sifill_LDF,non tweet
Harveyhollered,kendrick38,non tweet
CarsonAMerk,Rickonia,non tweet
WEKNOWYOURLIES,MarkDries1,non tweet
BenHarbold76,BenHarbold76,tweet
WyattBEarp,thecivilright,non tweet
fakehead,ScottAtLAUSD,non tweet
fakehead,la_studentsdsrv,non tweet
