,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
8444,2020-06-21,happy father’s day to all the black fathers who are currently incarcerated for crimes they did not commit or who have been given higher sentences because of the colour of their skin. you will have justice. you are not forgotten. #blacklivesmatter,happy father’s day black fathers currently incarcerated crimes commit given higher sentences colour skin justice forgotten ,1,en,"['happy', 'father', 'day', 'black', 'fathers', 'currently', 'incarcerated', 'crimes', 'commit', 'given', 'higher', 'sentences', 'colour', 'skin', 'justice', 'forgotten']","[('happy', 'JJ'), ('father', 'NN'), ('day', 'NN'), ('black', 'JJ'), ('fathers', 'NNS'), ('currently', 'RB'), ('incarcerated', 'VBN'), ('crimes', 'NNS'), ('commit', 'VB'), ('given', 'VBN'), ('higher', 'JJR'), ('sentences', 'NNS'), ('colour', 'VBP'), ('skin', 'JJ'), ('justice', 'NN'), ('forgotten', 'NNS')]", happy father day black father currently incarcerate crime commit give high sentence colour skin justice forgotten,0.47253105
8445,2020-06-21,"#JusticeForGeorgeFloyd 

Remember that this guy Alexander Kueng was also kneeling on Mr. George Floyd so he couldn't move. I hope this man is haunted day and night by Mr. Floyd's words. Not a moment of your life should be peaceful. 

#DefundThePolice #BlackLivesMatter https://t.co/K6hUbdJVqf",remember guy alexander kueng also kneeling mr george floyd couldnt move hope man haunted day night mr floyds words moment life peaceful ,1,en,"['remember', 'guy', 'alexander', 'kueng', 'also', 'kneeling', 'george', 'floyd', 'couldnt', 'move', 'hope', 'man', 'haunted', 'day', 'night', 'floyds', 'words', 'moment', 'life', 'peaceful']","[('remember', 'VB'), ('guy', 'NN'), ('alexander', 'NN'), ('kueng', 'NN'), ('also', 'RB'), ('kneeling', 'VBG'), ('george', 'NN'), ('floyd', 'NN'), ('couldnt', 'NNS'), ('move', 'VBP'), ('hope', 'NN'), ('man', 'NN'), ('haunted', 'VBN'), ('day', 'NN'), ('night', 'NN'), ('floyds', 'NN'), ('words', 'NNS'), ('moment', 'NN'), ('life', 'NN'), ('peaceful', 'NN')]", remember guy alexander kueng also kneel george floyd couldnt move hope man haunt day night floyds word moment life peaceful,0.24053974
8446,2020-06-21,"Hey, y’all. I know I’m never on Twitter, but I wanted to take a slight pause to come out of my cavern and say #BlackLivesMatter. I’m loud in other places about it right now, but I want my Twitter people know I see you, I love you, and I will never stop fighting for you.",hey y’all know i’m never twitter wanted take slight pause come cavern say i’m loud places right want twitter people know see love never stop fighting ,1,en,"['hey', 'know', 'never', 'twitter', 'wanted', 'take', 'slight', 'pause', 'come', 'cavern', 'say', 'loud', 'places', 'right', 'want', 'twitter', 'people', 'know', 'see', 'love', 'never', 'stop', 'fighting']","[('hey', 'NN'), ('know', 'VBP'), ('never', 'RB'), ('twitter', 'RB'), ('wanted', 'VBD'), ('take', 'VB'), ('slight', 'JJ'), ('pause', 'NN'), ('come', 'JJ'), ('cavern', 'JJ'), ('say', 'VBP'), ('loud', 'JJ'), ('places', 'NNS'), ('right', 'RB'), ('want', 'VBP'), ('twitter', 'JJ'), ('people', 'NNS'), ('know', 'VBP'), ('see', 'VBP'), ('love', 'VB'), ('never', 'RB'), ('stop', 'VB'), ('fighting', 'NN')]", hey know never twitter want take slight pause come cavern say loud place right want twitter people know see love never stop fighting,0.21193202
8447,2020-06-21,Preston Love Jr.: Real change for North Omaha | Opinion | https://t.co/16Q5XhxnzW  Omaha reparations plan that we can accomplish! No more birth to prison pipeline! People not prisons! #walktowesto #blacklivesmatter #liftblackvoices  https://t.co/7zIAdBl2md,preston love jr real change north omaha opinion omaha reparations plan accomplish birth prison pipeline people prisons ,1,en,"['preston', 'love', 'real', 'change', 'north', 'omaha', 'opinion', 'omaha', 'reparations', 'plan', 'accomplish', 'birth', 'prison', 'pipeline', 'people', 'prisons']","[('preston', 'NN'), ('love', 'NN'), ('real', 'JJ'), ('change', 'NN'), ('north', 'JJ'), ('omaha', 'JJ'), ('opinion', 'NN'), ('omaha', 'IN'), ('reparations', 'NNS'), ('plan', 'VBP'), ('accomplish', 'JJ'), ('birth', 'NN'), ('prison', 'NN'), ('pipeline', 'NN'), ('people', 'NNS'), ('prisons', 'NNS')]", preston love real change north omaha opinion omaha reparation plan accomplish birth prison pipeline people prison,0.1811217
8448,2020-06-21,#blacklivesmatter  @ whitehouse All lives matter ! it is bad that the President is discouraging testing and holding rallies in the midst of the Corona Virus Pandemic ! He should be firing racist Cops instead and focusing on saving lives !,whitehouse lives matter bad president discouraging testing holding rallies midst corona virus pandemic firing racist cops instead focusing saving lives ,1,en,"['whitehouse', 'lives', 'matter', 'bad', 'president', 'discouraging', 'testing', 'holding', 'rallies', 'midst', 'corona', 'virus', 'pandemic', 'firing', 'racist', 'cops', 'instead', 'focusing', 'saving', 'lives']","[('whitehouse', 'NN'), ('lives', 'VBZ'), ('matter', 'RB'), ('bad', 'JJ'), ('president', 'NN'), ('discouraging', 'VBG'), ('testing', 'VBG'), ('holding', 'VBG'), ('rallies', 'NNS'), ('midst', 'VBP'), ('corona', 'JJ'), ('virus', 'NN'), ('pandemic', 'JJ'), ('firing', 'NN'), ('racist', 'NN'), ('cops', 'NNS'), ('instead', 'RB'), ('focusing', 'VBG'), ('saving', 'VBG'), ('lives', 'NNS')]", whitehouse live matter bad president discourage test hold rally midst corona virus pandemic firing racist cop instead focus save life,0.53490317
8449,2020-06-21,Abm band cranking! Gotta stay social distance 💕 #Moechella #BlackLivesMatter https://t.co/CcdZE67OPg,abm band cranking gotta stay social distance ,1,en,"['abm', 'band', 'cranking', 'got', 'stay', 'social', 'distance']","[('abm', 'NN'), ('band', 'NN'), ('cranking', 'VBG'), ('got', 'VBD'), ('stay', 'JJ'), ('social', 'JJ'), ('distance', 'NN')]", abm band crank get stay social distance,0.29897365
8450,2020-06-21,"My 8year old daughter made this during the week and today she was blown away by your boots @trentaa98 . She said ""look his boots are like my painting"" 
Great work highlighting the #BlackLivesMatter movement today Trent. YNWA https://t.co/0Yc7Jrv7vN",year old daughter made week today blown away boots said look boots like painting great work highlighting movement today trent ynwa ,1,en,"['year', 'old', 'daughter', 'made', 'week', 'today', 'blown', 'away', 'boots', 'said', 'look', 'boots', 'like', 'painting', 'great', 'work', 'highlighting', 'movement', 'today', 'trent', 'ynwa']","[('year', 'NN'), ('old', 'JJ'), ('daughter', 'NN'), ('made', 'VBD'), ('week', 'NN'), ('today', 'NN'), ('blown', 'VBN'), ('away', 'RB'), ('boots', 'NNS'), ('said', 'VBD'), ('look', 'VBP'), ('boots', 'NNS'), ('like', 'IN'), ('painting', 'VBG'), ('great', 'JJ'), ('work', 'NN'), ('highlighting', 'VBG'), ('movement', 'NN'), ('today', 'NN'), ('trent', 'NN'), ('ynwa', 'NN')]", year old daughter make week today blow away boot say look boot like paint great work highlight movement today trent ynwa,0.24232306
8451,2020-06-21,#BREAKING #BreakingNews #BlackLivesMatter #BLMprotest The 26th President Theodore Roosevelt Statue at The #NewYork Museum of Natural History depicting a Black Man and Native Indian on foot by his side will be torn down. The 26th President great grandson also approved. https://t.co/3kTJN5ttbp,th president theodore roosevelt statue museum natural history depicting black man native indian foot side torn th president great grandson also approved ,1,en,"['president', 'theodore', 'roosevelt', 'statue', 'museum', 'natural', 'history', 'depicting', 'black', 'man', 'native', 'indian', 'foot', 'side', 'torn', 'president', 'great', 'grandson', 'also', 'approved']","[('president', 'NN'), ('theodore', 'RB'), ('roosevelt', 'VBD'), ('statue', 'NN'), ('museum', 'NN'), ('natural', 'JJ'), ('history', 'NN'), ('depicting', 'VBG'), ('black', 'JJ'), ('man', 'NN'), ('native', 'JJ'), ('indian', 'JJ'), ('foot', 'NN'), ('side', 'NN'), ('torn', 'JJ'), ('president', 'NN'), ('great', 'JJ'), ('grandson', 'NN'), ('also', 'RB'), ('approved', 'VBD')]", president theodore roosevelt statue museum natural history depict black man native indian foot side torn president great grandson also approve,0.44365835
8452,2020-06-21,Here is more of the vids from body cams showing he did nothing to be arrested. The white guys were running their mouths but didn’t get arrested !!! Damn y’all please stop hurting black people !!!! #BlackLivesMatter  https://t.co/uNiYyBdJ8m,vids body cams showing nothing arrested white guys running mouths didn’t get arrested damn y’all please stop hurting black people ,1,en,"['vids', 'body', 'cams', 'showing', 'nothing', 'arrested', 'white', 'guys', 'running', 'mouths', 'get', 'arrested', 'damn', 'please', 'stop', 'hurting', 'black', 'people']","[('vids', 'NNS'), ('body', 'NN'), ('cams', 'VBZ'), ('showing', 'VBG'), ('nothing', 'NN'), ('arrested', 'VBN'), ('white', 'JJ'), ('guys', 'NNS'), ('running', 'VBG'), ('mouths', 'NNS'), ('get', 'VBP'), ('arrested', 'VBN'), ('damn', 'JJ'), ('please', 'NN'), ('stop', 'VB'), ('hurting', 'VBG'), ('black', 'JJ'), ('people', 'NNS')]", vids body cams show nothing arrest white guy run mouth get arrest damn please stop hurt black people,0.8132146
8454,2020-06-21,@nytimes If you feel so strongly about Teddy Roosevelt redesign it with white people being beneath him tending to he and his horses needs. How bout dat?! #BlackLivesMatter #TeddyRoosevelt,feel strongly teddy roosevelt redesign white people beneath tending horses needs bout dat ,1,en,"['feel', 'strongly', 'teddy', 'roosevelt', 'redesign', 'white', 'people', 'beneath', 'tending', 'horses', 'needs', 'bout', 'dat']","[('feel', 'NN'), ('strongly', 'RB'), ('teddy', 'VBZ'), ('roosevelt', 'JJ'), ('redesign', 'JJ'), ('white', 'JJ'), ('people', 'NNS'), ('beneath', 'IN'), ('tending', 'VBG'), ('horses', 'NNS'), ('needs', 'VBZ'), ('bout', 'IN'), ('dat', 'NN')]", feel strongly teddy roosevelt redesign white people beneath tend horse need bout dat,0.5876557
