,Unnamed: 0,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
2242,2371,2020-05-07,"UPDATE: WHO guidelines for frontline PPE use designed to protect people, conserve gear https://t.co/FNRzl5OYlD #veterans #bluelivesmatter https://t.co/3Iqt1wp1mA #agsessions",update guidelines frontline ppe use designed protect people conserve gear ,1,en,"['update', 'guidelines', 'frontline', 'ppe', 'use', 'designed', 'protect', 'people', 'conserve', 'gear']","[('update', 'JJ'), ('guidelines', 'NNS'), ('frontline', 'VBP'), ('ppe', 'NN'), ('use', 'NN'), ('designed', 'VBN'), ('protect', 'JJ'), ('people', 'NNS'), ('conserve', 'VBP'), ('gear', 'JJ')]", update guideline frontline ppe use design protect people conserve gear,0.119283
2243,2372,2020-05-07,"If you rock with #BlueLivesMatter or #AllLivesMatter, you’re racist or prejudice in my eyes. You can deny it all you want but deep down, you know you hold aggression towards the Black community.

Both causes were created to silence Black people. You shouldn’t be okay with that.",rock you’re racist prejudice eyes deny want deep know hold aggression towards black community causes created silence black people shouldn’t okay ,1,en,"['rock', 'racist', 'prejudice', 'eyes', 'deny', 'want', 'deep', 'know', 'hold', 'aggression', 'towards', 'black', 'community', 'causes', 'created', 'silence', 'black', 'people', 'okay']","[('rock', 'NN'), ('racist', 'NN'), ('prejudice', 'NN'), ('eyes', 'NNS'), ('deny', 'VBP'), ('want', 'JJ'), ('deep', 'NN'), ('know', 'VBP'), ('hold', 'JJ'), ('aggression', 'NN'), ('towards', 'NNS'), ('black', 'JJ'), ('community', 'NN'), ('causes', 'NNS'), ('created', 'VBD'), ('silence', 'JJ'), ('black', 'JJ'), ('people', 'NNS'), ('okay', 'VBP')]", rock racist prejudice eye deny want deep know hold aggression towards black community cause create silence black people okay,0.6364068
2244,2373,2020-05-07,"Where the #BlueLivesMatter folks at.....................................................
*crickets*
*crickets* https://t.co/pVXx71qLxT",folks crickets crickets ,1,en,"['folks', 'crickets', 'crickets']","[('folks', 'NNS'), ('crickets', 'NNS'), ('crickets', 'NNS')]", folk cricket cricket,0.2443268
2245,2374,2020-05-07,"#BlueLivesMatter you are wasting every bit of political and community capital you’ve worked so hard to build. If it’s only a few bad apples you’d better make some applesauce, fast. Police yourselves!",wasting every bit political community capital you’ve worked hard build it’s bad apples you’d better make applesauce fast police ,1,en,"['wasting', 'every', 'bit', 'political', 'community', 'capital', 'worked', 'hard', 'build', 'bad', 'apples', 'better', 'make', 'applesauce', 'fast', 'police']","[('wasting', 'VBG'), ('every', 'DT'), ('bit', 'NN'), ('political', 'JJ'), ('community', 'NN'), ('capital', 'NN'), ('worked', 'VBD'), ('hard', 'JJ'), ('build', 'NN'), ('bad', 'JJ'), ('apples', 'NNS'), ('better', 'RBR'), ('make', 'VBP'), ('applesauce', 'JJ'), ('fast', 'JJ'), ('police', 'NN')]", waste every bit political community capital work hard build bad apple well make applesauce fast police,0.27456132
2246,2375,2020-05-07,Say west you want. I stand by this. #ftonerdtalk #bluelivesmatter #racist https://t.co/J1uskwJ2j9,say west want stand ,1,en,"['say', 'west', 'want', 'stand']","[('say', 'VB'), ('west', 'JJS'), ('want', 'JJ'), ('stand', 'NN')]", say west want stand,0.08947579
2247,2376,2020-05-07,We turn a blind eye. We turn a deaf ear. We grasp onto our white privilege and shout #BlueLivesMatter   &amp; “All Lives Matter” because we can’t actually handle for 1 second the spotlight being taken off of us &amp; having our perceived value threatened.,turn blind eye turn deaf ear grasp onto white privilege shout amp “all lives matter” can’t actually handle second spotlight taken us amp perceived value threatened ,1,en,"['turn', 'blind', 'eye', 'turn', 'deaf', 'ear', 'grasp', 'onto', 'white', 'privilege', 'shout', 'amp', 'lives', 'matter', 'actually', 'handle', 'second', 'spotlight', 'taken', 'amp', 'perceived', 'value', 'threatened']","[('turn', 'NN'), ('blind', 'RP'), ('eye', 'NN'), ('turn', 'NN'), ('deaf', 'JJ'), ('ear', 'JJ'), ('grasp', 'NN'), ('onto', 'IN'), ('white', 'JJ'), ('privilege', 'NN'), ('shout', 'NN'), ('amp', 'NN'), ('lives', 'VBZ'), ('matter', 'RBR'), ('actually', 'RB'), ('handle', 'VB'), ('second', 'JJ'), ('spotlight', 'NN'), ('taken', 'VBN'), ('amp', 'RB'), ('perceived', 'JJ'), ('value', 'NN'), ('threatened', 'VBD')]", turn blind eye turn deaf ear grasp onto white privilege shout amp live matter actually handle second spotlight take amp perceived value threaten,0.51235545
2248,2377,2020-05-07,"#AhmaudArbery #SeanReed should have never been a hashtag. Shit should have never happened but hey, this is America. White ppl can carry guns into federal building and spit in the face of police (#BlueLivesMatter right?) but black ppl are hunted in the streets like dogs.",never hashtag shit never happened hey america white ppl carry guns federal building spit face police right black ppl hunted streets like dogs ,1,en,"['never', 'hashtag', 'shit', 'never', 'happened', 'hey', 'america', 'white', 'ppl', 'carry', 'guns', 'federal', 'building', 'spit', 'face', 'police', 'right', 'black', 'ppl', 'hunted', 'streets', 'like', 'dogs']","[('never', 'RB'), ('hashtag', 'NN'), ('shit', 'VBD'), ('never', 'RB'), ('happened', 'VBN'), ('hey', 'NN'), ('america', 'IN'), ('white', 'JJ'), ('ppl', 'NN'), ('carry', 'NN'), ('guns', 'VBZ'), ('federal', 'JJ'), ('building', 'NN'), ('spit', 'NN'), ('face', 'NN'), ('police', 'NN'), ('right', 'JJ'), ('black', 'JJ'), ('ppl', 'NN'), ('hunted', 'VBD'), ('streets', 'NNS'), ('like', 'IN'), ('dogs', 'NNS')]", never hashtag shit never happen hey america white ppl carry gun federal building spit face police right black ppl hunt street like dog,0.8785311
2249,2378,2020-05-07,Devastating. Cops are putting themselves and their loved ones in danger while fighting the virus. #BlueLivesMatter #PoliceLivesMatter https://t.co/rLLqo4SKV3,devastating cops putting loved ones danger fighting virus ,1,en,"['devastating', 'cops', 'putting', 'loved', 'ones', 'danger', 'fighting', 'virus']","[('devastating', 'VBG'), ('cops', 'NNS'), ('putting', 'VBG'), ('loved', 'JJ'), ('ones', 'NNS'), ('danger', 'NN'), ('fighting', 'VBG'), ('virus', 'NN')]", devastate cop put loved one danger fight virus,0.39083737
2250,2379,2020-05-07,"Follow my back up at sofunnything
Hot fire incoming
.
.
.
.
.
 #sheriff #cop #lawenforcement  #cops #pewpew #backtheblue #bluelivesmatter #k9 #police #thinblueline #policeofficer
#the2ndisforeveryone… https://t.co/OXLdjtzZgj",follow back sofunnything hot fire incoming ,1,en,"['follow', 'back', 'sofunnything', 'hot', 'fire', 'incoming']","[('follow', 'VB'), ('back', 'RP'), ('sofunnything', 'VBG'), ('hot', 'JJ'), ('fire', 'NN'), ('incoming', 'NN')]", follow back sofunnything hot fire incoming,0.31089434
2251,2380,2020-05-07,Can #VirtualReality Make Our Communities Safer? Tune into Episode 39 to hear storyteller @DerekAHam share how he is using VR simulations to create bridges of empathy between communities of color &amp; law enforcement. #BlackLivesMatter #BlueLivesMatter https://t.co/NR9L4evUrg https://t.co/PtPDq2dGna,make communities safer tune episode hear storyteller share using vr simulations create bridges empathy communities color amp law enforcement ,1,en,"['make', 'communities', 'safer', 'tune', 'episode', 'hear', 'storyteller', 'share', 'using', 'simulations', 'create', 'bridges', 'empathy', 'communities', 'color', 'amp', 'law', 'enforcement']","[('make', 'VB'), ('communities', 'NNS'), ('safer', 'JJR'), ('tune', 'NN'), ('episode', 'NN'), ('hear', 'VBP'), ('storyteller', 'NN'), ('share', 'NN'), ('using', 'VBG'), ('simulations', 'NNS'), ('create', 'VBP'), ('bridges', 'NNS'), ('empathy', 'JJ'), ('communities', 'NNS'), ('color', 'VBP'), ('amp', 'JJ'), ('law', 'NN'), ('enforcement', 'NN')]", make community safe tune episode hear storyteller share use simulation create bridge empathy community color amp law enforcement,0.2139105
2252,2381,2020-05-07,"“#bluelivesmatter” you are a joke. Being a cop is a choice, yall get trainings (not enough, clearly), yall  get privilege &amp;get paid. You get to laugh at black ppl being killed &amp; say shit like “it looks like its going to be a closed casket” like someone wont be burying their baby.",“ joke cop choice yall get trainings enough clearly yall get privilege ampget paid get laugh black ppl killed amp say shit like “it looks like going closed casket” like someone wont burying baby ,1,en,"['joke', 'cop', 'choice', 'yall', 'get', 'trainings', 'enough', 'clearly', 'yall', 'get', 'privilege', 'ampget', 'paid', 'get', 'laugh', 'black', 'ppl', 'killed', 'amp', 'say', 'shit', 'like', 'looks', 'like', 'going', 'closed', 'casket', 'like', 'someone', 'wont', 'burying', 'baby']","[('joke', 'NN'), ('cop', 'NN'), ('choice', 'NN'), ('yall', 'NN'), ('get', 'VBP'), ('trainings', 'NNS'), ('enough', 'RB'), ('clearly', 'RB'), ('yall', 'JJ'), ('get', 'VB'), ('privilege', 'JJ'), ('ampget', 'NN'), ('paid', 'VBN'), ('get', 'VBP'), ('laugh', 'JJ'), ('black', 'JJ'), ('ppl', 'NN'), ('killed', 'VBD'), ('amp', 'NNS'), ('say', 'VBP'), ('shit', 'NNS'), ('like', 'IN'), ('looks', 'NNS'), ('like', 'IN'), ('going', 'VBG'), ('closed', 'VBD'), ('casket', 'NN'), ('like', 'IN'), ('someone', 'NN'), ('wont', 'NN'), ('burying', 'VBG'), ('baby', 'NN')]", joke cop choice yall get training enough clearly yall get privilege ampget pay get laugh black ppl kill amp say shit like look like go close casket like someone wont bury baby,0.8260904
2253,2382,2020-05-07,"Follow my back up at sofunnything
Hot fire incoming
.
.
.
.
.
 #sheriff #cop #lawenforcement  #cops #pewpew #backtheblue #bluelivesmatter #k9 #police #thinblueline #policeofficer
#the2ndisforeveryone… https://t.co/wVw41GJ6XN",follow back sofunnything hot fire incoming ,1,en,"['follow', 'back', 'sofunnything', 'hot', 'fire', 'incoming']","[('follow', 'VB'), ('back', 'RP'), ('sofunnything', 'VBG'), ('hot', 'JJ'), ('fire', 'NN'), ('incoming', 'NN')]", follow back sofunnything hot fire incoming,0.31089434
2254,2383,2020-05-07,"@chuckwoolery @walsh_happyone It took the sheriff's office to make us look bad. The liberal judge reminded us that we need all Democrats out of office, including any elected in law enforcement. #BlueLivesMatter and @TXSheriffs  have blown it with their biggest supporters.",took sheriffs office make us look bad liberal judge reminded us need democrats office including elected law enforcement blown biggest supporters ,1,en,"['took', 'sheriffs', 'office', 'make', 'look', 'bad', 'liberal', 'judge', 'reminded', 'need', 'democrats', 'office', 'including', 'elected', 'law', 'enforcement', 'blown', 'biggest', 'supporters']","[('took', 'VBD'), ('sheriffs', 'NNS'), ('office', 'NN'), ('make', 'VBP'), ('look', 'NN'), ('bad', 'JJ'), ('liberal', 'JJ'), ('judge', 'NN'), ('reminded', 'VBD'), ('need', 'NN'), ('democrats', 'NNS'), ('office', 'NN'), ('including', 'VBG'), ('elected', 'VBN'), ('law', 'NN'), ('enforcement', 'NN'), ('blown', 'VBN'), ('biggest', 'JJS'), ('supporters', 'NNS')]", take sheriff office make look bad liberal judge remind need democrat office include elect law enforcement blow big supporter,0.1929155
2255,2384,2020-05-07,"@think4urself6 @JoyAnnReid Yes, looks like an outstanding citizen going about his business 🙄 #ShotsFired #BlueLivesMatter #AllLivesMatter",yes looks like outstanding citizen going business ,1,en,"['yes', 'looks', 'like', 'outstanding', 'citizen', 'going', 'business']","[('yes', 'RB'), ('looks', 'VBZ'), ('like', 'IN'), ('outstanding', 'JJ'), ('citizen', 'NN'), ('going', 'VBG'), ('business', 'NN')]", yes look like outstanding citizen go business,0.056402035
