,Unnamed: 0,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
0,0,2020-05-23,@_SJPeace_ Honest Police would want this punk cop off the force #BlueLivesMatter,honest police would want punk cop force ,1,en,"['honest', 'police', 'would', 'want', 'punk', 'cop', 'force']","[('honest', 'JJS'), ('police', 'NNS'), ('would', 'MD'), ('want', 'VB'), ('punk', 'NN'), ('cop', 'NN'), ('force', 'NN')]", honest police would want punk cop force,0.34710902
1,1,2020-05-23,@jconstance61 @gryking This thug shouldn’t have resisted arrest #BlueLivesMatter 👮‍♂️💙,thug shouldn’t resisted arrest ,1,en,"['thug', 'resisted', 'arrest']","[('thug', 'NN'), ('resisted', 'VBD'), ('arrest', 'NN')]", thug resist arrest,0.35223705
2,2,2020-05-23,"So, to be clear apparently somewhere in the constitution, or one of its amendments, it addresses howpeople have no responsibility to society &amp; have the right to infect others? So much for #BlueLivesMatter #SupportOurTroops &amp; being pro-life. #GOPHypocrisy #RepublicansAreKillingUs https://t.co/LFRuKKHloH",clear apparently somewhere constitution one amendments addresses howpeople responsibility society amp right infect others much amp prolife ,1,en,"['clear', 'apparently', 'somewhere', 'constitution', 'one', 'amendments', 'addresses', 'howpeople', 'responsibility', 'society', 'amp', 'right', 'infect', 'others', 'much', 'amp', 'prolife']","[('clear', 'JJ'), ('apparently', 'RB'), ('somewhere', 'RB'), ('constitution', 'NN'), ('one', 'CD'), ('amendments', 'VBZ'), ('addresses', 'VBZ'), ('howpeople', 'JJ'), ('responsibility', 'NN'), ('society', 'NN'), ('amp', 'NN'), ('right', 'RB'), ('infect', 'JJ'), ('others', 'NNS'), ('much', 'JJ'), ('amp', 'IN'), ('prolife', 'NN')]", clear apparently somewhere constitution one amendments address howpeople responsibility society amp right infect others much amp prolife,0.40325466
3,3,2020-05-23,"@cromgood @KHiveQueenBee There goes all the #BlueLivesMatter shit, right out the Karen window.",goes shit right karen window ,1,en,"['goes', 'shit', 'right', 'karen', 'window']","[('goes', 'VBZ'), ('shit', 'RB'), ('right', 'JJ'), ('karen', 'NNS'), ('window', 'VBP')]", go shit right karen window,0.9285752
4,4,2020-05-23,"Heroes work at every police station, fire station, hospital, medical center.  Thank you for all you do every day.  #thankyouforyourservice #thankyou #bluelivesmatter #redlivesmatter #alllifeisprecious… https://t.co/DirPXaZRMs",heroes work every police station fire station hospital medical center thank every day ,1,en,"['heroes', 'work', 'every', 'police', 'station', 'fire', 'station', 'hospital', 'medical', 'center', 'thank', 'every', 'day']","[('heroes', 'NNS'), ('work', 'VBP'), ('every', 'DT'), ('police', 'NN'), ('station', 'NN'), ('fire', 'NN'), ('station', 'NN'), ('hospital', 'NN'), ('medical', 'JJ'), ('center', 'NN'), ('thank', 'NN'), ('every', 'DT'), ('day', 'NN')]", hero work every police station fire station hospital medical center thank every day,0.107924975
5,5,2020-05-23,"VIDEO: Suicidal Suspect Fatally Shot After Rushing Officers With Machete https://t.co/FZmz8Ph4L1

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",video suicidal suspect fatally shot rushing officers machete follow ,1,en,"['video', 'suicidal', 'suspect', 'fatally', 'shot', 'rushing', 'officers', 'machete', 'follow']","[('video', 'NN'), ('suicidal', 'NN'), ('suspect', 'VBP'), ('fatally', 'RB'), ('shot', 'JJ'), ('rushing', 'VBG'), ('officers', 'NNS'), ('machete', 'VBP'), ('follow', 'VB')]", video suicidal suspect fatally shot rush officer machete follow,0.6364068
6,6,2020-05-23,"The truth is funny 😁 

#leader 
#funny #laugh #BlueLivesMatter 
#ChicagoPD 
#Livepd #LivePDNation 
#LivePD #LivePDNation 
@thinblueliner 
  @LivePdFans @bluelinenation   @NationalSheriff @NatPoliceAssoc  @LivePdBlueLine @UrgentNews911 https://t.co/8SW60edKE3",truth funny ,1,en,"['truth', 'funny']","[('truth', 'NN'), ('funny', 'NN')]", truth funny,0.05747623
7,7,2020-05-23,"Did you ever see joebiden chilling with shabbaranks ?

🤔🤔🤔🤔🤔🤔🤔🤔🤔

Follow my back up at sofunnything
Hot fire incoming
.
.
.
.
.
#sheriff #cop #lawenforcement  #cops #pewpew #backtheblue #bluelivesmatter #k9 #police… https://t.co/FOqc6HZtbI",ever see joebiden chilling shabbaranks follow back sofunnything hot fire incoming ,1,en,"['ever', 'see', 'joebiden', 'chilling', 'shabbaranks', 'follow', 'back', 'sofunnything', 'hot', 'fire', 'incoming']","[('ever', 'RB'), ('see', 'VB'), ('joebiden', 'JJ'), ('chilling', 'VBG'), ('shabbaranks', 'NNS'), ('follow', 'VBP'), ('back', 'RB'), ('sofunnything', 'VBG'), ('hot', 'JJ'), ('fire', 'NN'), ('incoming', 'NN')]", ever see joebiden chill shabbaranks follow back sofunnything hot fire incoming,0.18347144
8,9,2020-05-23,@MichelleSteelCA @VoiceofOC @ocregister When will you require our cops/sheriff’s to wear masks?  Are we expected to pay for these folks when they get sick?  What about taxpayers who don’t want to pay for this?  What about #BlueLivesMatter? #MaskItOrCasket https://t.co/XTMTi9KSeo,require copssheriff’s wear masks expected pay folks get sick taxpayers don’t want pay ,1,en,"['require', 'copssheriff', 'wear', 'masks', 'expected', 'pay', 'folks', 'get', 'sick', 'taxpayers', 'want', 'pay']","[('require', 'NN'), ('copssheriff', 'NN'), ('wear', 'JJ'), ('masks', 'NNS'), ('expected', 'VBN'), ('pay', 'NN'), ('folks', 'NNS'), ('get', 'VBP'), ('sick', 'JJ'), ('taxpayers', 'NNS'), ('want', 'VBP'), ('pay', 'NN')]", require copssheriff wear mask expect pay folk get sick taxpayer want pay,0.29339707
9,10,2020-05-23,"Mayor With Numerous Knife Wounds Claims He 'Fell' On Knife https://t.co/xotPny9Nbm

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",mayor numerous knife wounds claims fell knife follow ,1,en,"['mayor', 'numerous', 'knife', 'wounds', 'claims', 'fell', 'knife', 'follow']","[('mayor', 'NN'), ('numerous', 'JJ'), ('knife', 'NN'), ('wounds', 'NNS'), ('claims', 'NNS'), ('fell', 'VBD'), ('knife', 'NNS'), ('follow', 'VB')]", mayor numerous knife wound claim fell knife follow,0.4096011
10,11,2020-05-23,I think iv had a visit from one of the children of the Blue Ray?  #spiritualawakening #ufo #paranormal #BlueLivesMatter #5thdimension #adelaide #southaustralia #aliens https://t.co/PScTKh5XHa,think iv visit one children blue ray ,1,en,"['think', 'visit', 'one', 'children', 'blue', 'ray']","[('think', 'VB'), ('visit', 'IN'), ('one', 'CD'), ('children', 'NNS'), ('blue', 'JJ'), ('ray', 'NN')]", think visit one child blue ray,0.16022956
11,12,2020-05-23,"I’ve never said this before 

But

That cop was scared for his life. 

#bluelivesmatter https://t.co/1Abu6rjTVR",i’ve never said cop scared life ,1,en,"['never', 'said', 'cop', 'scared', 'life']","[('never', 'RB'), ('said', 'VBD'), ('cop', 'NN'), ('scared', 'VBD'), ('life', 'NN')]", never say cop scar life,0.28726304
12,13,2020-05-23,What happened to #BlueLivesMatter ? https://t.co/QOVRXyN8El,happened ,1,en,['happened'],"[('happened', 'VBD')]", happen,0.03771125
13,14,2020-05-23,"#BlueLivesMatter has been mighty quiet in regards to #BreonnaTaylor but, I didn’t really expect anything more bc they’re exactly like #AllLivesMatter ... A movement w. only ONE targeted purpose &amp; that is trying to diminish #BlackLivesMatter",mighty quiet regards didn’t really expect anything bc they’re exactly like movement w one targeted purpose amp trying diminish ,1,en,"['mighty', 'quiet', 'regards', 'really', 'expect', 'anything', 'exactly', 'like', 'movement', 'one', 'targeted', 'purpose', 'amp', 'trying', 'diminish']","[('mighty', 'NN'), ('quiet', 'JJ'), ('regards', 'NNS'), ('really', 'RB'), ('expect', 'VBP'), ('anything', 'NN'), ('exactly', 'RB'), ('like', 'IN'), ('movement', 'NN'), ('one', 'CD'), ('targeted', 'VBN'), ('purpose', 'NN'), ('amp', 'NN'), ('trying', 'VBG'), ('diminish', 'JJ')]", mighty quiet regard really expect anything exactly like movement one target purpose amp try diminish,0.10931141
14,15,2020-05-23,All charges dropped against #KennethWalker ✊🏿✊🏿✊🏿✊🏿 An investigation needs to be opened for #BreonnaTaylor’s MURDER. The cops should be fired &amp; go to prison. That was handled so terrible. Where is #BlueLivesMatter now? 🤔#Justice4Breonna,charges dropped investigation needs opened murder cops fired amp go prison handled terrible ,1,en,"['charges', 'dropped', 'investigation', 'needs', 'opened', 'murder', 'cops', 'fired', 'amp', 'prison', 'handled', 'terrible']","[('charges', 'NNS'), ('dropped', 'VBD'), ('investigation', 'NN'), ('needs', 'NNS'), ('opened', 'VBD'), ('murder', 'NN'), ('cops', 'NNS'), ('fired', 'VBD'), ('amp', 'RP'), ('prison', 'NN'), ('handled', 'VBD'), ('terrible', 'JJ')]", charge drop investigation need open murder cop fire amp prison handle terrible,0.69542736
15,16,2020-05-23,@Wes_Side_Story Lock that uncompliant thug up #BlueLivesMatter,lock uncompliant thug ,1,en,"['lock', 'uncompliant', 'thug']","[('lock', 'NN'), ('uncompliant', 'JJ'), ('thug', 'NN')]", lock uncompliant thug,0.535184
16,17,2020-05-23,"Where's the #BlueLivesMatter crowd for this..smh🤦🏿‍♂️
#FirstThem

Teacher and ex-cop 'pedophile' couple 'served cupcakes to students laced with SEMEN', lawsuit claims https://t.co/H7A2TVco5Q",wheres crowd thissmh teacher excop pedophile couple served cupcakes students laced semen lawsuit claims ,1,en,"['wheres', 'crowd', 'thissmh', 'teacher', 'excop', 'pedophile', 'couple', 'served', 'cupcakes', 'students', 'laced', 'semen', 'lawsuit', 'claims']","[('wheres', 'NNS'), ('crowd', 'VBP'), ('thissmh', 'IN'), ('teacher', 'JJR'), ('excop', 'NN'), ('pedophile', 'JJ'), ('couple', 'NN'), ('served', 'VBD'), ('cupcakes', 'JJ'), ('students', 'NNS'), ('laced', 'VBD'), ('semen', 'NNS'), ('lawsuit', 'NN'), ('claims', 'NNS')]", wheres crowd thissmh teacher excop pedophile couple serve cupcakes student lace semen lawsuit claim,0.702949
17,18,2020-05-23,"@Boardmania_ @realDonaldTrump @GOP The @GOP is the #BlueLivesMatter crowd until they're asked for wear face coverings for others, then they're oppressed and spitting in police officer's faces.

None of it is worth the constant tax cuts for the wealthiest of our country while 78% of America lives check to check",crowd theyre asked wear face coverings others theyre oppressed spitting police officers faces none worth constant tax cuts wealthiest country america lives check check ,1,en,"['crowd', 'theyre', 'asked', 'wear', 'face', 'coverings', 'others', 'theyre', 'oppressed', 'spitting', 'police', 'officers', 'faces', 'none', 'worth', 'constant', 'tax', 'cuts', 'wealthiest', 'country', 'america', 'lives', 'check', 'check']","[('crowd', 'NN'), ('theyre', 'NN'), ('asked', 'VBD'), ('wear', 'JJ'), ('face', 'NN'), ('coverings', 'NNS'), ('others', 'NNS'), ('theyre', 'VBP'), ('oppressed', 'VBN'), ('spitting', 'JJ'), ('police', 'NN'), ('officers', 'NNS'), ('faces', 'VBZ'), ('none', 'NN'), ('worth', 'NN'), ('constant', 'JJ'), ('tax', 'NN'), ('cuts', 'NNS'), ('wealthiest', 'VBP'), ('country', 'NN'), ('america', 'NN'), ('lives', 'VBZ'), ('check', 'VB'), ('check', 'NN')]", crowd theyre ask wear face covering others theyre oppress spitting police officer face none worth constant tax cut wealthiest country america live check check,0.3533216
18,19,2020-05-23,@HoarseWisperer This is some of the batsh*t crazy that #policeofficers have to deal with. #BlueLivesMatter OMG,batsht crazy deal omg ,1,en,"['batsht', 'crazy', 'deal', 'omg']","[('batsht', 'NN'), ('crazy', 'JJ'), ('deal', 'NN'), ('omg', 'NN')]", batsht crazy deal omg,0.40509102
19,21,2020-05-23,@JpTrumpower @OnlineDetective @RexChapman But he didn't assign a race to PD (police officers) he identified that they used tasers appropriately when dealing w/white people. A dead black person is still dead no matter what color the person is in the blue uniform. #BlueLivesMatter &amp; #BlackLivesMatter,didnt assign race pd police officers identified used tasers appropriately dealing wwhite people dead black person still dead matter color person blue uniform amp ,1,en,"['didnt', 'assign', 'race', 'police', 'officers', 'identified', 'used', 'tasers', 'appropriately', 'dealing', 'wwhite', 'people', 'dead', 'black', 'person', 'still', 'dead', 'matter', 'color', 'person', 'blue', 'uniform', 'amp']","[('didnt', 'NN'), ('assign', 'NN'), ('race', 'NN'), ('police', 'NN'), ('officers', 'NNS'), ('identified', 'VBD'), ('used', 'JJ'), ('tasers', 'NNS'), ('appropriately', 'RB'), ('dealing', 'VBG'), ('wwhite', 'JJ'), ('people', 'NNS'), ('dead', 'JJ'), ('black', 'JJ'), ('person', 'NN'), ('still', 'RB'), ('dead', 'JJ'), ('matter', 'NN'), ('color', 'NN'), ('person', 'NN'), ('blue', 'JJ'), ('uniform', 'NN'), ('amp', 'NN')]", didnt assign race police officer identify used tasers appropriately deal wwhite people dead black person still dead matter color person blue uniform amp,0.6568762
20,22,2020-05-23,Please keep Officer Osment and the family in your prayers. #BlueLivesMatter https://t.co/juoi4Bhvtd,please keep officer osment family prayers ,1,en,"['please', 'keep', 'officer', 'osment', 'family', 'prayers']","[('please', 'VB'), ('keep', 'JJ'), ('officer', 'NN'), ('osment', 'JJ'), ('family', 'NN'), ('prayers', 'NNS')]", please keep officer osment family prayer,0.11085733
21,23,2020-05-23,@lipsoneric This goes to show that MAGATs were never for #BlueLivesMatter!,goes show magats never ,1,en,"['goes', 'show', 'magats', 'never']","[('goes', 'VBZ'), ('show', 'NN'), ('magats', 'NNS'), ('never', 'RB')]", go show magats never,0.18230869
22,24,2020-05-23,"@BillJanis @bobcesca_go Yep...You notice with the Michigan Capitol, those guys with guns screaming in the faces of those cops, they forgot all about #bluelivesmatter",yepyou notice michigan capitol guys guns screaming faces cops forgot ,1,en,"['yepyou', 'notice', 'michigan', 'capitol', 'guys', 'guns', 'screaming', 'faces', 'cops', 'forgot']","[('yepyou', 'NN'), ('notice', 'NN'), ('michigan', 'VBD'), ('capitol', 'JJ'), ('guys', 'NNS'), ('guns', 'NNS'), ('screaming', 'VBG'), ('faces', 'VBZ'), ('cops', 'NNS'), ('forgot', 'VBD')]", yepyou notice michigan capitol guy gun scream face cop forget,0.5154597
23,26,2020-05-23,@DeirdreFlanagan @bobcesca_go I guess they threw #Bluelivesmatter out the window for the duration of the pandemic? What a bunch of phonies.,guess threw window duration pandemic bunch phonies ,1,en,"['guess', 'threw', 'window', 'duration', 'pandemic', 'bunch', 'phonies']","[('guess', 'NN'), ('threw', 'VBD'), ('window', 'JJ'), ('duration', 'NN'), ('pandemic', 'JJ'), ('bunch', 'NN'), ('phonies', 'NNS')]", guess throw window duration pandemic bunch phony,0.6636913
24,27,2020-05-23,"@fanofprincephil @Gavin1962 @gryking Naw bro she deserved it. Why couldnt she just follow directions?

#BlueLivesMatter",naw bro deserved couldnt follow directions ,1,en,"['naw', 'bro', 'deserved', 'couldnt', 'follow', 'directions']","[('naw', 'JJ'), ('bro', 'NN'), ('deserved', 'VBD'), ('couldnt', 'NNS'), ('follow', 'JJ'), ('directions', 'NNS')]", naw bro deserve couldnt follow direction,0.253058
25,28,2020-05-23,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.
Good night @POTUS @FLOTUS and all Patriots!

#DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A #FoxNewsAtNight https://t.co/bE5AGMIA01",vindiciae contra tyrannos defense liberty tyrants good night patriots ,1,en,"['vindiciae', 'contra', 'tyrannos', 'defense', 'liberty', 'tyrants', 'good', 'night', 'patriots']","[('vindiciae', 'NN'), ('contra', 'NNS'), ('tyrannos', 'VBP'), ('defense', 'NN'), ('liberty', 'NN'), ('tyrants', 'NNS'), ('good', 'JJ'), ('night', 'NN'), ('patriots', 'NNS')]", vindiciae contra tyrannos defense liberty tyrant good night patriot,100.0
26,29,2020-05-23,"@gryking Pray for our officers! These damn felons are out here doing high speed chases, resisting arrest, not complying...I heard she wears white after Labor Day and doesn't season her food! Open and shut case! Lethal injection! #BlueLivesMatter #BackTheBlue",pray officers damn felons high speed chases resisting arrest complyingi heard wears white labor day doesnt season food open shut case lethal injection ,1,en,"['pray', 'officers', 'damn', 'felons', 'high', 'speed', 'chases', 'resisting', 'arrest', 'complyingi', 'heard', 'wears', 'white', 'labor', 'day', 'doesnt', 'season', 'food', 'open', 'shut', 'case', 'lethal', 'injection']","[('pray', 'NN'), ('officers', 'NNS'), ('damn', 'VBP'), ('felons', 'NNS'), ('high', 'JJ'), ('speed', 'NN'), ('chases', 'NNS'), ('resisting', 'VBG'), ('arrest', 'NN'), ('complyingi', 'NN'), ('heard', 'NN'), ('wears', 'VBZ'), ('white', 'JJ'), ('labor', 'NN'), ('day', 'NN'), ('doesnt', 'VBD'), ('season', 'NN'), ('food', 'NN'), ('open', 'JJ'), ('shut', 'NN'), ('case', 'NN'), ('lethal', 'JJ'), ('injection', 'NN')]", pray officer damn felon high speed chase resist arrest complyingi heard wear white labor day doesnt season food open shut case lethal injection,0.794439
27,30,2020-05-23,"@iwinsoiwin She’s a dirtbag and deserved everything she was given! She resisted arrest, fought with an officer, and fled the scene.
Good job officer!! 
She is STUPID!!
#BlueLivesMatter 👮‍♂️💙",she’s dirtbag deserved everything given resisted arrest fought officer fled scene good job officer stupid ,1,en,"['dirtbag', 'deserved', 'everything', 'given', 'resisted', 'arrest', 'fought', 'officer', 'fled', 'scene', 'good', 'job', 'officer', 'stupid']","[('dirtbag', 'NN'), ('deserved', 'VBD'), ('everything', 'NN'), ('given', 'VBN'), ('resisted', 'VBD'), ('arrest', 'JJ'), ('fought', 'JJ'), ('officer', 'NN'), ('fled', 'VBD'), ('scene', 'NN'), ('good', 'JJ'), ('job', 'NN'), ('officer', 'NN'), ('stupid', 'JJ')]", dirtbag deserve everything give resist arrest fought officer flee scene good job officer stupid,0.9017687
28,31,2020-05-23,"Thinking the guys from #westbatonrougesheriff should watch Lt. Brown from RCSC on how to be smart and professional. He gets upset, but always maintains his professionalism. The contrast between them is staggering. #backthebadge #BlueLivesMatter #LivePD @LivePdFans",thinking guys watch lt brown rcsc smart professional gets upset always maintains professionalism contrast staggering ,1,en,"['thinking', 'guys', 'watch', 'brown', 'rcsc', 'smart', 'professional', 'gets', 'upset', 'always', 'maintains', 'professionalism', 'contrast', 'staggering']","[('thinking', 'VBG'), ('guys', 'NNS'), ('watch', 'VBP'), ('brown', 'JJ'), ('rcsc', 'JJ'), ('smart', 'JJ'), ('professional', 'JJ'), ('gets', 'VBZ'), ('upset', 'JJ'), ('always', 'RB'), ('maintains', 'VBZ'), ('professionalism', 'NN'), ('contrast', 'NN'), ('staggering', 'NN')]", think guy watch brown rcsc smart professional get upset always maintain professionalism contrast staggering,0.35452712
29,32,2020-05-23,"9-Year-Old Autistic Boy Found Dead After Being Kidnapped In Attack At Home Depot https://t.co/pX9mr8H4zX

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",yearold autistic boy found dead kidnapped attack home depot follow ,1,en,"['yearold', 'autistic', 'boy', 'found', 'dead', 'kidnapped', 'attack', 'home', 'depot', 'follow']","[('yearold', 'RB'), ('autistic', 'JJ'), ('boy', 'NN'), ('found', 'VBN'), ('dead', 'JJ'), ('kidnapped', 'VBD'), ('attack', 'NN'), ('home', 'NN'), ('depot', 'NN'), ('follow', 'VB')]", yearold autistic boy find dead kidnap attack home depot follow,0.44419548
30,33,2020-05-23,"Shoplifters Wear Watermelons On Heads To Conceal Identities https://t.co/rJZKN6GLLQ

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",shoplifters wear watermelons heads conceal identities follow ,1,en,"['shoplifters', 'wear', 'watermelons', 'heads', 'conceal', 'identities', 'follow']","[('shoplifters', 'NNS'), ('wear', 'VBP'), ('watermelons', 'NNS'), ('heads', 'NNS'), ('conceal', 'VBP'), ('identities', 'NNS'), ('follow', 'VBP')]", shoplifter wear watermelon head conceal identity follow,0.35346103
31,34,2020-05-23,"VIDEO: Officers Attacked At 3,000-Person Party, Accused Of Racism https://t.co/hLizU4hJ5b

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",video officers attacked person party accused racism follow ,1,en,"['video', 'officers', 'attacked', 'person', 'party', 'accused', 'racism', 'follow']","[('video', 'NN'), ('officers', 'NNS'), ('attacked', 'VBD'), ('person', 'NN'), ('party', 'NN'), ('accused', 'VBD'), ('racism', 'NN'), ('follow', 'VB')]", video officer attack person party accuse racism follow,0.34576848
32,35,2020-05-23,"Felon Freed To 'Protect Him' From Virus Chokes Random Elderly Woman On Trail https://t.co/6Klnt67qjx

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law #covid19 #coronavirus",felon freed protect virus chokes random elderly woman trail follow ,1,en,"['felon', 'freed', 'protect', 'virus', 'chokes', 'random', 'elderly', 'woman', 'trail', 'follow']","[('felon', 'NN'), ('freed', 'NN'), ('protect', 'VBP'), ('virus', 'NN'), ('chokes', 'NNS'), ('random', 'VBP'), ('elderly', 'JJ'), ('woman', 'NN'), ('trail', 'NN'), ('follow', 'NN')]", felon freed protect virus choke random elderly woman trail follow,0.3871587
33,36,2020-05-23,"Recently-Released Felon Shoots Deputy On Traffic Stop https://t.co/JNglNdR3DY

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",recentlyreleased felon shoots deputy traffic stop follow ,1,en,"['recentlyreleased', 'felon', 'shoots', 'deputy', 'traffic', 'stop', 'follow']","[('recentlyreleased', 'VBN'), ('felon', 'JJ'), ('shoots', 'NNS'), ('deputy', 'NN'), ('traffic', 'NN'), ('stop', 'NN'), ('follow', 'NN')]", recentlyreleased felon shoot deputy traffic stop follow,0.5154597
34,37,2020-05-23,"VIDEO: Man With Shotgun Opens Fire On Deputies, Gets Taken Out In Gunfight https://t.co/JocK9cjMnS

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",video man shotgun opens fire deputies gets taken gunfight follow ,1,en,"['video', 'man', 'shotgun', 'opens', 'fire', 'deputies', 'gets', 'taken', 'gunfight', 'follow']","[('video', 'NN'), ('man', 'NN'), ('shotgun', 'NN'), ('opens', 'VBZ'), ('fire', 'NN'), ('deputies', 'NNS'), ('gets', 'VBZ'), ('taken', 'VBN'), ('gunfight', 'NN'), ('follow', 'NN')]", video man shotgun open fire deputy get take gunfight follow,0.40558484
35,38,2020-05-23,"VIDEO: Man Points BB Guns At Police Helicopter, Is Shot With Real Bullets https://t.co/43gqyF0mR6

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",video man points bb guns police helicopter shot real bullets follow ,1,en,"['video', 'man', 'points', 'guns', 'police', 'helicopter', 'shot', 'real', 'bullets', 'follow']","[('video', 'NN'), ('man', 'NN'), ('points', 'NNS'), ('guns', 'JJ'), ('police', 'NNS'), ('helicopter', 'NN'), ('shot', 'NN'), ('real', 'JJ'), ('bullets', 'NNS'), ('follow', 'VBP')]", video man point guns police helicopter shot real bullet follow,0.46431383
36,39,2020-05-23,"San Diego Mayor Rebuffs Governor Over Trying To Hold Cops' Jobs Hostage https://t.co/imqcH5rZ5G

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law",san diego mayor rebuffs governor trying hold cops jobs hostage follow ,1,en,"['san', 'diego', 'mayor', 'rebuffs', 'governor', 'trying', 'hold', 'cops', 'jobs', 'hostage', 'follow']","[('san', 'JJ'), ('diego', 'NN'), ('mayor', 'NN'), ('rebuffs', 'NNS'), ('governor', 'NN'), ('trying', 'VBG'), ('hold', 'JJ'), ('cops', 'NNS'), ('jobs', 'NNS'), ('hostage', 'NN'), ('follow', 'VBP')]", san diego mayor rebuff governor try hold cop job hostage follow,0.1796486
37,40,2020-05-23,"@gryking Not only would a black person would have been assaulted far further than this woman was, she resisted arrest and was combative. She tired to act like his mother. The cop did the right thing here but I’d like to see all of the #BlueLivesMatter folks say she got what she deserved.",would black person would assaulted far woman resisted arrest combative tired act like mother cop right thing i’d like see folks say got deserved ,1,en,"['would', 'black', 'person', 'would', 'assaulted', 'far', 'woman', 'resisted', 'arrest', 'combative', 'tired', 'act', 'like', 'mother', 'cop', 'right', 'thing', 'like', 'see', 'folks', 'say', 'got', 'deserved']","[('would', 'MD'), ('black', 'JJ'), ('person', 'NN'), ('would', 'MD'), ('assaulted', 'VB'), ('far', 'RB'), ('woman', 'NN'), ('resisted', 'VBD'), ('arrest', 'RB'), ('combative', 'JJ'), ('tired', 'VBN'), ('act', 'NN'), ('like', 'IN'), ('mother', 'NN'), ('cop', 'NN'), ('right', 'JJ'), ('thing', 'NN'), ('like', 'IN'), ('see', 'JJ'), ('folks', 'NNS'), ('say', 'VBP'), ('got', 'VBD'), ('deserved', 'JJ')]", would black person would assault far woman resist arrest combative tire act like mother cop right thing like see folk say get deserved,0.647161
38,41,2020-05-23,"Sheriff Says Deputies Too Busy Re-Arresting Freed Inmates To Enforce Lockdown https://t.co/W6cSvAChHv

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law #covid19 #coronavirus",sheriff says deputies busy rearresting freed inmates enforce lockdown follow ,1,en,"['sheriff', 'says', 'deputies', 'busy', 'rearresting', 'freed', 'inmates', 'enforce', 'lockdown', 'follow']","[('sheriff', 'NN'), ('says', 'VBZ'), ('deputies', 'NNS'), ('busy', 'JJ'), ('rearresting', 'VBG'), ('freed', 'NN'), ('inmates', 'NNS'), ('enforce', 'VBP'), ('lockdown', 'JJ'), ('follow', 'NN')]", sheriff say deputy busy rearresting freed inmate enforce lockdown follow,0.33769384
39,42,2020-05-23,"@OfficialLivePD, I’m glad Captain Tracey Cantrell of Lawrence PD is okay. When I saw it I was in shock. #BlueLivesMatter",i’m glad captain tracey cantrell lawrence pd okay saw shock ,1,en,"['glad', 'captain', 'tracey', 'cantrell', 'lawrence', 'okay', 'saw', 'shock']","[('glad', 'NN'), ('captain', 'NN'), ('tracey', 'NN'), ('cantrell', 'NN'), ('lawrence', 'NN'), ('okay', 'NN'), ('saw', 'VBD'), ('shock', 'NN')]", glad captain tracey cantrell lawrence okay saw shock,0.241351
40,43,2020-05-23,@Redpainter1 @ResistMonsters This is why the #bluelivesmatter crowd is bullshit.,crowd bullshit ,1,en,"['crowd', 'bullshit']","[('crowd', 'NN'), ('bullshit', 'NN')]", crowd bullshit,0.93246543
41,44,2020-05-23,"@MDAckerson @LivePdFans @James_lewis2 @glenn_henagan @OfficialLivePD @LivePDNation Couldn't disagree more. Love #LivePD and its mission, but the #westbatonrougesheriff dept guys give LEO's a bad name. They're the opposite of professionalism in law enforcement. #BlueLivesMatter Back the badge and take theirs away.",couldnt disagree love mission dept guys give leos bad name theyre opposite professionalism law enforcement back badge take away ,1,en,"['couldnt', 'disagree', 'love', 'mission', 'dept', 'guys', 'give', 'leos', 'bad', 'name', 'theyre', 'opposite', 'professionalism', 'law', 'enforcement', 'back', 'badge', 'take', 'away']","[('couldnt', 'NNS'), ('disagree', 'VBP'), ('love', 'VB'), ('mission', 'NN'), ('dept', 'IN'), ('guys', 'NNS'), ('give', 'VBP'), ('leos', 'JJ'), ('bad', 'JJ'), ('name', 'NN'), ('theyre', 'IN'), ('opposite', 'JJ'), ('professionalism', 'NN'), ('law', 'NN'), ('enforcement', 'NN'), ('back', 'RB'), ('badge', 'JJ'), ('take', 'VB'), ('away', 'RP')]", couldnt disagree love mission dept guy give leos bad name theyre opposite professionalism law enforcement back badge take away,0.17577706
