,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
912,2020-05-22,"@AliVelshi One victim (#AhmaudArbery) died from a vicious beating. Three of his killers behind bars and facing murder charges. Largest law enforcement agency in the Southeast (@GBI_GA) finished up its damning investigation. Justice is finally served.

#BlackLivesMatter #FactSheetFriday https://t.co/9IHloMtP2v",one victim died vicious beating three killers behind bars facing murder charges largest law enforcement agency southeast finished damning investigation justice finally served ,1,en,"['one', 'victim', 'died', 'vicious', 'beating', 'three', 'killers', 'behind', 'bars', 'facing', 'murder', 'charges', 'largest', 'law', 'enforcement', 'agency', 'southeast', 'finished', 'damning', 'investigation', 'justice', 'finally', 'served']","[('one', 'CD'), ('victim', 'NN'), ('died', 'VBD'), ('vicious', 'JJ'), ('beating', 'NN'), ('three', 'CD'), ('killers', 'NNS'), ('behind', 'IN'), ('bars', 'NNS'), ('facing', 'VBG'), ('murder', 'NN'), ('charges', 'NNS'), ('largest', 'JJS'), ('law', 'NN'), ('enforcement', 'NN'), ('agency', 'NN'), ('southeast', 'NN'), ('finished', 'VBD'), ('damning', 'VBG'), ('investigation', 'NN'), ('justice', 'NN'), ('finally', 'RB'), ('served', 'VBD')]", one victim die vicious beating three killer behind bar face murder charge large law enforcement agency southeast finish damn investigation justice finally serve,0.3919073
913,2020-05-22,"Yo FR FR tho FREEDOM FRIDAY #blacklivesmatter #nativelivesmatter ✊🏽✊🏼
.
.
Ya FIGADIG 💯🤙
2020 it's my time NOW 
ya  FIGADIG me baby 
FIGADIG this 💯💣💥☝🏼💙😎🙏🙌
@iamyungjoc @jermainedupri defjam @jazzepha @twistagmg… https://t.co/3ZqWwbqUPY",yo fr fr tho freedom friday ya figadig time ya figadig baby figadig defjam ,1,en,"['tho', 'freedom', 'friday', 'figadig', 'time', 'figadig', 'baby', 'figadig', 'defjam']","[('tho', 'NN'), ('freedom', 'NN'), ('friday', 'JJ'), ('figadig', 'JJ'), ('time', 'NN'), ('figadig', 'JJ'), ('baby', 'NN'), ('figadig', 'NN'), ('defjam', 'NN')]", tho freedom friday figadig time figadig baby figadig defjam,0.2985327
914,2020-05-22,"Another young black man shot dead in Rio. This is the third I’ve heard of this week alone, and I wouldn’t be surprised if there were more. #BlackLivesMatter https://t.co/RolRhVymDf",another young black man shot dead rio third i’ve heard week alone wouldn’t surprised ,1,en,"['another', 'young', 'black', 'man', 'shot', 'dead', 'rio', 'third', 'heard', 'week', 'alone', 'surprised']","[('another', 'DT'), ('young', 'JJ'), ('black', 'JJ'), ('man', 'NN'), ('shot', 'NN'), ('dead', 'JJ'), ('rio', 'NN'), ('third', 'JJ'), ('heard', 'JJ'), ('week', 'NN'), ('alone', 'RB'), ('surprised', 'VBD')]", another young black man shot dead rio third heard week alone surprise,0.794439
916,2020-05-22,@France24_en: why do you display a video of #AhmaudArbery during his interaction with police few years back while reporting on his killing by a father and a son in a sickening and unlawful #CitizensArrest? Please convey accurate and fair information. #BlackLivesMatter,display video interaction police years back reporting killing father son sickening unlawful please convey accurate fair information ,1,en,"['display', 'video', 'interaction', 'police', 'years', 'back', 'reporting', 'killing', 'father', 'son', 'sickening', 'unlawful', 'please', 'convey', 'accurate', 'fair', 'information']","[('display', 'NN'), ('video', 'NN'), ('interaction', 'NN'), ('police', 'NN'), ('years', 'NNS'), ('back', 'RB'), ('reporting', 'VBG'), ('killing', 'VBG'), ('father', 'NN'), ('son', 'NN'), ('sickening', 'VBG'), ('unlawful', 'JJ'), ('please', 'NN'), ('convey', 'VB'), ('accurate', 'JJ'), ('fair', 'JJ'), ('information', 'NN')]", display video interaction police year back report kill father son sicken unlawful please convey accurate fair information,0.5876557
917,2020-05-22,"No one gets stronger w/o weights. 
Think about it the next time you feel as though your dreams and passions feel heavy...

#strong 
#dreamschool 
#blackbeauty 
#BlackLivesMatter 
#BlackBoyJoy 
#BlackGirlMagic",one gets stronger wo weights think next time feel though dreams passions feel heavy ,1,en,"['one', 'gets', 'stronger', 'weights', 'think', 'next', 'time', 'feel', 'though', 'dreams', 'passions', 'feel', 'heavy']","[('one', 'CD'), ('gets', 'VBZ'), ('stronger', 'JJR'), ('weights', 'NNS'), ('think', 'VBP'), ('next', 'JJ'), ('time', 'NN'), ('feel', 'VB'), ('though', 'IN'), ('dreams', 'JJ'), ('passions', 'NNS'), ('feel', 'VBP'), ('heavy', 'JJ')]", one get strong weight think next time feel though dreams passion feel heavy,0.19475144
918,2020-05-22,"@theGrio These people are trying to push their own race war. They don’t know how God fights for us.
#BlackLivesMatter",people trying push race war don’t know god fights us ,1,en,"['people', 'trying', 'push', 'race', 'war', 'know', 'god', 'fights']","[('people', 'NNS'), ('trying', 'VBG'), ('push', 'JJ'), ('race', 'NN'), ('war', 'NN'), ('know', 'VBP'), ('god', 'NN'), ('fights', 'NNS')]", people try push race war know god fight,0.4136348
919,2020-05-22,Just #BoycottFedEx bc that’s was some BS ! And fuck that customer ! #whiteprivilege #imblackmovement #BlackLivesMatter,bc that’s bs fuck customer ,1,en,"['fuck', 'customer']","[('fuck', 'NN'), ('customer', 'NN')]", fuck customer,0.93232936
920,2020-05-22,Breaking News!!!! Now available... DM for shirt size 💯#BlackLivesMatter https://t.co/JYAPSihyge,breaking news available dm shirt size ,1,en,"['breaking', 'news', 'available', 'shirt', 'size']","[('breaking', 'VBG'), ('news', 'NN'), ('available', 'JJ'), ('shirt', 'NN'), ('size', 'NN')]", break news available shirt size,0.14987038
921,2020-05-22,@MrNegroMilitant @realDonaldTrump #BlackLivesMatter has got a lot of support from us here overseas. Get him out please! He's ruining the whole world.🌎 #FuckTrump #RacistInChief #RacismMustFall #BlackLivesMatterUK,got lot support us overseas get please hes ruining whole world ,1,en,"['got', 'lot', 'support', 'overseas', 'get', 'please', 'hes', 'ruining', 'whole', 'world']","[('got', 'VBD'), ('lot', 'JJ'), ('support', 'NN'), ('overseas', 'RB'), ('get', 'VB'), ('please', 'JJ'), ('hes', 'NNS'), ('ruining', 'VBG'), ('whole', 'JJ'), ('world', 'NN')]", get lot support overseas get please he ruin whole world,0.40316433
922,2020-05-22,"Is This Joe Biden's Blackface Scandal? Strong Echoes of Ralph Northam... #WalkAwayFromDemocrats #BLEXIT #BlackLivesMatter

https://t.co/Xpf5hQnAtt",joe bidens blackface scandal strong echoes ralph northam ,1,en,"['joe', 'bidens', 'blackface', 'scandal', 'strong', 'echoes', 'ralph', 'northam']","[('joe', 'NN'), ('bidens', 'NNS'), ('blackface', 'VBP'), ('scandal', 'NN'), ('strong', 'JJ'), ('echoes', 'NNS'), ('ralph', 'VBP'), ('northam', 'NN')]", joe bidens blackface scandal strong echo ralph northam,0.403159
923,2020-05-22,@shaunking Dear @shaunking if you ever see this. I hope that you'll fight. Not just for you and the #BlackLivesMatter   community. But for the whole world. Love Maja. https://t.co/m3n0eQGvIg,dear ever see hope youll fight community whole world love maja ,1,en,"['dear', 'ever', 'see', 'hope', 'youll', 'fight', 'community', 'whole', 'world', 'love', 'maja']","[('dear', 'JJ'), ('ever', 'RB'), ('see', 'VBP'), ('hope', 'JJ'), ('youll', 'JJ'), ('fight', 'NN'), ('community', 'NN'), ('whole', 'JJ'), ('world', 'NN'), ('love', 'NN'), ('maja', 'NN')]", dear ever see hope youll fight community whole world love maja,0.38237467
924,2020-05-22,Why are black people still supporting a app that has made it clear that they censor black creators and limit them from addressing racism 🤔#boycotttiktok #BlackLivesMatter,black people still supporting app made clear censor black creators limit addressing racism ,1,en,"['black', 'people', 'still', 'supporting', 'app', 'made', 'clear', 'censor', 'black', 'creators', 'limit', 'addressing', 'racism']","[('black', 'JJ'), ('people', 'NNS'), ('still', 'RB'), ('supporting', 'VBG'), ('app', 'NNS'), ('made', 'VBN'), ('clear', 'JJ'), ('censor', 'NN'), ('black', 'JJ'), ('creators', 'NNS'), ('limit', 'VBP'), ('addressing', 'VBG'), ('racism', 'NN')]", black people still support app make clear censor black creator limit address racism,0.6694535
925,2020-05-22,"Just one word....

"" TRAITOR ""

#BlackLivesMatter https://t.co/W0GsiqOyGR",one word traitor ,1,en,"['one', 'word', 'traitor']","[('one', 'CD'), ('word', 'NN'), ('traitor', 'NN')]", one word traitor,0.31089434
926,2020-05-22,"Trump World. A place where racism is a badge of honor. A place where kids go hungry. And a place where American lives mean zip. Vote Nov 3rd!
#TrumpGOPGenocide 
#ThankAHungerHero
#BlackLivesMatter https://t.co/dRkuyaOrGI",trump world place racism badge honor place kids go hungry place american lives mean zip vote nov rd ,1,en,"['trump', 'world', 'place', 'racism', 'badge', 'honor', 'place', 'kids', 'hungry', 'place', 'american', 'lives', 'mean', 'zip', 'vote', 'nov']","[('trump', 'NN'), ('world', 'NN'), ('place', 'NN'), ('racism', 'NN'), ('badge', 'NN'), ('honor', 'JJ'), ('place', 'NN'), ('kids', 'NNS'), ('hungry', 'JJ'), ('place', 'VBP'), ('american', 'JJ'), ('lives', 'NNS'), ('mean', 'VBP'), ('zip', 'JJ'), ('vote', 'NN'), ('nov', 'NN')]", trump world place racism badge honor place kid hungry place american life mean zip vote nov,0.69542736
927,2020-05-22,"@TheInstructor9 @maggie617634 @Yamiche The police arrived, took statements - and then let the two murderers walk away. Don’t anyone EVER say that the police in Georgia are not racist. 🤮 sickening. #murderers #racistPolice #BlackLivesMatter #DeathPenalty",police arrived took statements let two murderers walk away don’t anyone ever say police georgia racist sickening ,1,en,"['police', 'arrived', 'took', 'statements', 'let', 'two', 'murderers', 'walk', 'away', 'anyone', 'ever', 'say', 'police', 'georgia', 'racist', 'sickening']","[('police', 'NN'), ('arrived', 'VBD'), ('took', 'VBD'), ('statements', 'NNS'), ('let', 'VB'), ('two', 'CD'), ('murderers', 'NNS'), ('walk', 'VBP'), ('away', 'RB'), ('anyone', 'NN'), ('ever', 'RB'), ('say', 'VB'), ('police', 'NNS'), ('georgia', 'JJ'), ('racist', 'NN'), ('sickening', 'VBG')]", police arrive take statement let two murderer walk away anyone ever say police georgia racist sicken,0.69542736
