,Datetime,Text,TextCleaned,flag,Language,FilteredTweet,TokenizedTweet,LemmatizedTweet,ToxicityScore
4117,2020-06-07,"@tariqnasheed Don't judge the country over the actions of one idiot. Serbia never had a black/white division, no black person was ever arrested for ""walking while black"". We have many problems but racism toward black people is not one of them. #BlackLivesMatter",dont judge country actions one idiot serbia never blackwhite division black person ever arrested walking black many problems racism toward black people one ,1,en,"['dont', 'judge', 'country', 'actions', 'one', 'idiot', 'serbia', 'never', 'blackwhite', 'division', 'black', 'person', 'ever', 'arrested', 'walking', 'black', 'many', 'problems', 'racism', 'toward', 'black', 'people', 'one']","[('dont', 'NN'), ('judge', 'NN'), ('country', 'NN'), ('actions', 'NNS'), ('one', 'CD'), ('idiot', 'NN'), ('serbia', 'NN'), ('never', 'RB'), ('blackwhite', 'JJ'), ('division', 'NN'), ('black', 'JJ'), ('person', 'NN'), ('ever', 'RB'), ('arrested', 'VBD'), ('walking', 'VBG'), ('black', 'JJ'), ('many', 'JJ'), ('problems', 'NNS'), ('racism', 'VBP'), ('toward', 'IN'), ('black', 'JJ'), ('people', 'NNS'), ('one', 'CD')]", dont judge country action one idiot serbia never blackwhite division black person ever arrest walk black many problem racism toward black people one,0.9156528
4119,2020-06-07,"It’s not just the boots on the ground. It’s the sergeants, the lieutenants, the commanders—all the way up to the top of the chain of command. Don’t be naive. Please be careful. Record everything. And always stay vigilant. #ACAB #BlackLivesMatter #GeorgeFloydProtests",it’s boots ground it’s sergeants lieutenants commanders—all way top chain command don’t naive please careful record everything always stay vigilant ,1,en,"['boots', 'ground', 'sergeants', 'lieutenants', 'commanders', 'way', 'top', 'chain', 'command', 'naive', 'please', 'careful', 'record', 'everything', 'always', 'stay', 'vigilant']","[('boots', 'NNS'), ('ground', 'NN'), ('sergeants', 'NNS'), ('lieutenants', 'VBZ'), ('commanders', 'NNS'), ('way', 'NN'), ('top', 'JJ'), ('chain', 'NN'), ('command', 'NN'), ('naive', 'JJ'), ('please', 'NN'), ('careful', 'JJ'), ('record', 'NN'), ('everything', 'NN'), ('always', 'RB'), ('stay', 'VBP'), ('vigilant', 'JJ')]", boot ground sergeant lieutenants commander way top chain command naive please careful record everything always stay vigilant,0.105396755
4120,2020-06-07,ARMY and BTS trying to help as much as it can to the community. this is the fandom that I loved 👏😭🥺 #MatchTheMillion #BlackLivesMatter #DearClassOf2020 @BTS_twt,army bts trying help much community fandom loved ,1,en,"['army', 'bts', 'trying', 'help', 'much', 'community', 'fandom', 'loved']","[('army', 'NN'), ('bts', 'NNS'), ('trying', 'VBG'), ('help', 'NN'), ('much', 'RB'), ('community', 'NN'), ('fandom', 'NN'), ('loved', 'VBD')]", army bts try help much community fandom love,0.09207652
4121,2020-06-07,#BlackLivesMatter they always have... https://t.co/2rDIsyyacV,always ,1,en,['always'],"[('always', 'RB')]", always,0.052860092
4122,2020-06-07,"If this does not make you sick, does not make you hurt, does not make you rethink how you judge and view this movement. You are not human.
#BlackLivesMatter #icantbreathe #SayTheirNames
 https://t.co/pXS5kursrN",make sick make hurt make rethink judge view movement human ,1,en,"['make', 'sick', 'make', 'hurt', 'make', 'rethink', 'judge', 'view', 'movement', 'human']","[('make', 'VB'), ('sick', 'JJ'), ('make', 'NN'), ('hurt', 'NNS'), ('make', 'VBP'), ('rethink', 'NN'), ('judge', 'NN'), ('view', 'NN'), ('movement', 'NN'), ('human', 'NN')]", make sick make hurt make rethink judge view movement human,0.31089434
4123,2020-06-07,Soooo i did a think and i cut all of my hair off 😩💈🙌🏽 due to all of my health issues and stress i felt like it was best . Still trying love it and feel beautiful with it but hey here it is 😍 #BlackLivesMatter #LovingMyMelanin #BlackCreatives https://t.co/ckEGsVI83L,soooo think cut hair due health issues stress felt like best still trying love feel beautiful hey ,1,en,"['soooo', 'think', 'cut', 'hair', 'due', 'health', 'issues', 'stress', 'felt', 'like', 'best', 'still', 'trying', 'love', 'feel', 'beautiful', 'hey']","[('soooo', 'NN'), ('think', 'VBP'), ('cut', 'VBN'), ('hair', 'NN'), ('due', 'JJ'), ('health', 'NN'), ('issues', 'NNS'), ('stress', 'VBP'), ('felt', 'VBN'), ('like', 'IN'), ('best', 'JJS'), ('still', 'RB'), ('trying', 'VBG'), ('love', 'VB'), ('feel', 'NN'), ('beautiful', 'IN'), ('hey', 'NN')]", soooo think cut hair due health issue stress felt like best still try love feel beautiful hey,0.14513004
4124,2020-06-07,"VIDEO IS LIVE!! THIS IS HOW (not) TO BE A SECRET AGENT IN FORTNITE!! Click the link below to check it out!!

https://t.co/AC742bJWf2

#gamer #fortnite #fortniteaccount #YouTube #videogames #StaySafe #relax #memes #itiswhatitis #vibe #contentcreators #BlackLivesMatter",video live secret agent fortnite click link check ,1,en,"['video', 'live', 'secret', 'agent', 'fortnite', 'click', 'link', 'check']","[('video', 'NN'), ('live', 'JJ'), ('secret', 'JJ'), ('agent', 'NN'), ('fortnite', 'JJ'), ('click', 'NN'), ('link', 'NN'), ('check', 'NN')]", video live secret agent fortnite click link check,0.09792545
4128,2020-06-07,"Cannot describe the sadness I feel seeing my synth-pop queen @carlyraejepsen being silent on the #BlackLivesMatter movement happening right now. Where you at homegirl? You have a platform, please use it. #MusicIndustrySpeakUp",cannot describe sadness feel seeing synthpop queen silent movement happening right homegirl platform please use ,1,en,"['describe', 'sadness', 'feel', 'seeing', 'synthpop', 'queen', 'silent', 'movement', 'happening', 'right', 'homegirl', 'platform', 'please', 'use']","[('describe', 'NN'), ('sadness', 'NN'), ('feel', 'VB'), ('seeing', 'VBG'), ('synthpop', 'NN'), ('queen', 'JJ'), ('silent', 'JJ'), ('movement', 'NN'), ('happening', 'VBG'), ('right', 'JJ'), ('homegirl', 'NN'), ('platform', 'NN'), ('please', 'NN'), ('use', 'NN')]", describe sadness feel see synthpop queen silent movement happen right homegirl platform please use,0.1353411
4129,2020-06-07,@EbonixSims I was struggling like hell with these poses and my game crashing 😭 but it’s the message that counts! #BLMSimsRally #BlackLivesMatter https://t.co/dxBE3tXU8i,struggling like hell poses game crashing it’s message counts ,1,en,"['struggling', 'like', 'hell', 'poses', 'game', 'crashing', 'message', 'counts']","[('struggling', 'VBG'), ('like', 'IN'), ('hell', 'NN'), ('poses', 'NNS'), ('game', 'NN'), ('crashing', 'VBG'), ('message', 'NN'), ('counts', 'NNS')]", struggle like hell pose game crash message count,0.49011114
4130,2020-06-07,Start seeing motorcyclists does not mean stop seeing cars and #BlackLivesMatter does not mean other lives don't matter. Thanks! https://t.co/a6BaCw8j4w,start seeing motorcyclists mean stop seeing cars mean lives dont matter thanks ,1,en,"['start', 'seeing', 'motorcyclists', 'mean', 'stop', 'seeing', 'cars', 'mean', 'lives', 'dont', 'matter', 'thanks']","[('start', 'VB'), ('seeing', 'VBG'), ('motorcyclists', 'NNS'), ('mean', 'VBP'), ('stop', 'VB'), ('seeing', 'VBG'), ('cars', 'NNS'), ('mean', 'JJ'), ('lives', 'NNS'), ('dont', 'VBP'), ('matter', 'NN'), ('thanks', 'NNS')]", start see motorcyclist mean stop see car mean life dont matter thanks,0.15285872
4131,2020-06-07,"George Floyd‘s Lawyer @MeritLaw and Breitbart News‘ Joel Pollak Discuss: Was ‘Chaos‘ Necessary for Justice?

https://t.co/pEq0pRBTUm via @BreitbartNews #BlackLivesMatter #GeorgeFloyd",george floyd‘s lawyer breitbart news‘ joel pollak discuss ‘chaos‘ necessary justice via ,1,en,"['george', 'floyd', 'lawyer', 'breitbart', 'news', 'joel', 'pollak', 'discuss', 'chaos', 'necessary', 'justice', 'via']","[('george', 'NN'), ('floyd', 'NNS'), ('lawyer', 'NN'), ('breitbart', 'VBP'), ('news', 'NN'), ('joel', 'NN'), ('pollak', 'NN'), ('discuss', 'NN'), ('chaos', 'NN'), ('necessary', 'JJ'), ('justice', 'NN'), ('via', 'IN')]", george floyd lawyer breitbart news joel pollak discus chaos necessary justice via,0.19114871
